timestamp,temperature_c,wind_speed_kmh
2026-09-07 21:15:00+00:00,38.8,16.56
2026-09-07 21:35:00+00:00,39.4,0.0
2026-09-07 21:55:00+00:00,39.3,0.0
2026-09-07 22:15:00+00:00,39.3,0.0
2026-09-07 22:35:00+00:00,38.7,9.36
2026-09-07 22:55:00+00:00,38.4,14.76
2026-09-07 23:15:00+00:00,38.3,0.0
2026-09-07 23:35:00+00:00,38.1,11.16
2026-09-07 23:55:00+00:00,37.7,0.0
2026-09-08 00:15:00+00:00,37.3,0.0
2026-09-08 00:35:00+00:00,36.6,0.0
2026-09-08 00:55:00+00:00,36.1,0.0
2026-09-08 01:15:00+00:00,35.3,0.0
2026-09-08 01:35:00+00:00,34.7,0.0
2026-09-08 01:55:00+00:00,33.6,0.0
2026-09-08 02:15:00+00:00,32.6,0.0
2026-09-08 02:35:00+00:00,32.3,0.0
2026-09-08 02:55:00+00:00,32.0,0.0
2026-09-08 03:15:00+00:00,31.5,0.0
2026-09-08 03:35:00+00:00,30.7,0.0
2026-09-08 03:55:00+00:00,29.9,0.0
2026-09-08 04:15:00+00:00,29.5,0.0
2026-09-08 04:35:00+00:00,28.7,0.0
2026-09-08 04:55:00+00:00,28.7,0.0
