entry,exit,days,size,ret,xosb,win,winx
2012-08-01,2012-08-15,11,1.0,0.048044232970227085,0.0016136081987832007,True,True
2013-10-11,2013-12-11,43,1.0,-0.11314688210536694,-0.1091163001575195,False,False
2015-04-16,2015-05-04,13,1.0,-0.031047297172023924,-0.010762198158835279,False,False
2015-10-14,2015-10-20,5,1.0,0.10298479256059179,0.09761984527891676,True,True
2015-10-30,2015-11-05,5,1.0,0.10356994682376874,0.07318704307037005,True,True
2016-07-18,2016-07-22,5,1.0,0.1611105091152336,0.1978276772664611,True,True
2017-01-09,2017-03-28,55,1.0,-0.26689135609990644,-0.146184355351209,False,False
2018-03-16,2018-04-25,28,0.5,0.23042593343673956,0.09476947496175403,True,True
2021-01-04,2021-02-02,21,1.0,0.0023781768790696045,-0.05791986986028985,True,False
2021-02-26,2021-03-04,5,1.0,0.0923127584791903,0.04578634475313903,True,True
2021-04-30,2021-05-20,15,1.0,0.10468456390322234,-0.017981987995119963,True,False
2021-07-09,2021-07-15,5,1.0,-0.09977746190433523,-0.010985433325850114,False,False
2021-08-25,2021-11-09,54,1.0,0.08900410612796406,-0.0731290482707283,True,False
2021-12-09,2021-12-17,7,1.0,0.006060618919367489,0.07287621188483495,True,True
2021-12-29,2022-02-16,35,1.0,0.24485733391705922,-0.030967959687016267,True,False
2022-06-23,2022-07-05,8,0.5,-0.16073799104032194,-0.1070050620150016,False,False
2022-07-19,2022-07-26,6,1.0,0.15993256881693307,0.12243006944262858,True,True
2025-07-14,2025-07-21,6,1.0,-0.021605831639071482,0.05776686200916714,False,True
2025-07-28,2025-09-03,27,1.0,0.04902166302501909,0.06296957859229702,True,True
2025-09-09,2025-09-18,8,1.0,0.051695205747145145,0.03208620686075658,True,True
2026-01-15,2026-01-29,10,1.0,0.07469091520982407,0.009817233731918007,True,True
