facility,permit_number,permit_class,status_at_recheck,scope
Cushing South Terminal,2024-1235-O,minor-source operating permit,technical review,public regulatory event; not a construction-count
Cushing Tank Terminal,2024-1222-TVR,title-v operating permit,issued,public regulatory event; not a construction-count
Tidal Cushing Crude Terminal,2025-0311-TVR2,title-v operating permit,issued,public regulatory event; not a construction-count
