lag_weeks,n,pearson_r,spearman_rho
-4,436,0.04185269427646005,-0.14733640715858232
-3,437,-0.0019207598574554612,-0.18258890680481019
-2,438,-0.05418368365291122,-0.23025929121106595
-1,439,-0.10006557059106584,-0.24562437935297088
0,440,-0.12543956155406438,-0.23008820011748746
1,439,-0.14561803879923726,-0.20033053731180797
2,438,-0.15971206419775735,-0.1993222683037206
3,437,-0.16873622733343857,-0.18865908201521
4,436,-0.16064868597876963,-0.1775566180502613
