year,month,zip_path,zip_sha256,member,vol_sha256,source_url
2016,apr,research/gathering/raw/091-tmas/20260911T123706Z/zips/apr_2016_ccs_data.zip,033638db3a57b2a27687fd0c722465d3cbdd25d7680002a95a56f1817fa618ce,4. APR/OK_APR_2016 (TMAS).VOL,e6bbab281a985a8aa93c0ca68ff785ca2bdd87eabb0906d34c940832dcf327f7,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2016/apr_2016_ccs_data.zip
2016,may,research/gathering/raw/091-tmas/20260911T123706Z/zips/may_2016_ccs_data.zip,cac72cadfaf330df91412f1737ddb51cf319a598ffb1732c83d21b32a13a947d,5. MAY/OK_MAY_2016 (TMAS).VOL,1db7040350272080fd223e9cbcdcf58eadaee6be106a976894c69d83e3924447,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2016/may_2016_ccs_data.zip
2016,jun,research/gathering/raw/091-tmas/20260911T123706Z/zips/jun_2016_ccs_data.zip,17bc214109d339a44f0e0de138c58b797ec6db3792c762e896f88c080019f8ac,6. JUN/OK_JUN_2016 (TMAS).VOL,f201ead645bddc213bcaf81b669fecd63b138182c9a1e0bda509082f5ef158f3,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2016/jun_2016_ccs_data.zip
2016,jul,research/gathering/raw/091-tmas/20260911T123706Z/zips/jul_2016_ccs_data.zip,60c9dc7fdf5b38ff45b3d420499a39664f661f9427b86aba9eba8888455324a2,7. JUL/OK_JUL_2016 (TMAS).VOL,f3aa357b406f8b04b8168e2106c673faf1f357a3c4db992d9628b814efd56b01,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2016/jul_2016_ccs_data.zip
2016,aug,research/gathering/raw/091-tmas/20260911T123706Z/zips/aug_2016_ccs_data.zip,5e4555b318ebb46738159a8ea61760282572fe27e9ad432ff9b8ea9b57270607,8. AUG/OK_AUG_2016 (TMAS).VOL,48b5b29e24954f6dd468eb34b44474570889633a6754aff8f982d6b8af23dce1,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2016/aug_2016_ccs_data.zip
2016,sep,research/gathering/raw/091-tmas/20260911T123706Z/zips/sep_2016_ccs_data.zip,5386e06adf3989999bfac4a3bf74471b0855e7f75d572c84cddfb3e8b3ef1a8f,9. SEP/OK_SEP_2016 (TMAS).VOL,632209db0e6d58cb08c30daf7dad81a1042e7154977d6efcd002dc35375fbd51,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2016/sep_2016_ccs_data.zip
2016,oct,research/gathering/raw/091-tmas/20260911T123706Z/zips/oct_2016_ccs_data.zip,421da56bc84b494f81afded1f017e6d798d11b6f7e7755bfab97f496685b01c8,10. OCT/OK_OCT_2016 (TMAS).VOL,7366c64aef4fd0918b9b27339e4af5d282cf8229a5d295992bbc49e16d9b6bae,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2016/oct_2016_ccs_data.zip
2016,nov,research/gathering/raw/091-tmas/20260911T123706Z/zips/nov_2016_ccs_data.zip,84bb3e8b38abbcfe9fbbe5c2b6773181429b5308989681cce0d5b554f377d3b2,11. NOV/OK_NOV_2016 (TMAS).VOL,5136c44786c84e0fc5395db77bc0de55511ecb404f91cd1ded109f76fc33e5bb,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2016/nov_2016_ccs_data.zip
2016,dec,research/gathering/raw/091-tmas/20260911T123706Z/zips/dec_2016_ccs_data.zip,10facfcac5d71ce0041416da461729f593c80109d06ce1436223340aaea3794f,12. DEC/OK_DEC_2016 (TMAS).VOL,9ae7cb097c47b66f79f0e0e0ddd8aaeef514e5d78bdb6d76fad2373dae342bf5,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2016/dec_2016_ccs_data.zip
2017,jan,research/gathering/raw/091-tmas/20260911T123706Z/zips/jan_2017_ccs_data.zip,9712c778ab9fd8b6d65082681400c930bc22a1f2aa0767548e1906366c576b17,1. JAN/OK_JAN_2017 (TMAS).VOL,3da40e1e6b46a5f24ce28aa5800aedb9e5ade2da7f34a2ea113db109d650d8bc,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/jan_2017_ccs_data.zip
2017,feb,research/gathering/raw/091-tmas/20260911T123706Z/zips/feb_2017_ccs_data.zip,d35070bc490514e6dc206f04e0dc046ea31ab240d1be195905cb730e1e02a2e1,2. FEB/OK_FEB_2017 (TMAS).VOL,9d2db2f523ffd9e843a7bbd0198e0eb9ffb5aa606b39028136e0f981e7565862,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/feb_2017_ccs_data.zip
2017,mar,research/gathering/raw/091-tmas/20260911T123706Z/zips/mar_2017_ccs_data.zip,776afefe9e379da0758005b689468a863ae381a275d82ed21e5faa16872256e3,3. MAR/OK_MAR_2017 (TMAS).VOL,500738a2208658f234a47f9aab4c02761b5eb46e9c204ef757383de99b6595d6,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/mar_2017_ccs_data.zip
2017,apr,research/gathering/raw/091-tmas/20260911T123706Z/zips/apr_2017_ccs_data.zip,20d3b398803ab000b6c54c6a346cfff1d92fb619ef950792dea893a04d4d0c84,4. APR/OK_APR_2017 (TMAS).VOL,72b3f52c1231f2465ce16c4d279b34f020d9b5ffe1c4b53701ba00ba02482371,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/apr_2017_ccs_data.zip
2017,may,research/gathering/raw/091-tmas/20260911T123706Z/zips/may_2017_ccs_data.zip,c0dab4b686d7af480d5141d90bd080e587ae490394785637ef34a87fcaba60c4,5. MAY/OK_MAY_2017 (TMAS).VOL,54556e34d1baee3d9c489fd8bd7749df4fe603ccaf1aa544df7a726be97a3fe3,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/may_2017_ccs_data.zip
2017,jun,research/gathering/raw/091-tmas/20260911T123706Z/zips/jun_2017_ccs_data.zip,4e7e54ce5c020f1914dcf26e3f477e7a06499251eac8391df785604361136a7e,6. JUN/OK_JUN_2017 (TMAS).VOL,ba9ccfbc34554935482c02f71222935bb6947cdad2f137b113a5990accfce7b6,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/jun_2017_ccs_data.zip
2017,jul,research/gathering/raw/091-tmas/20260911T123706Z/zips/jul_2017_ccs_data.zip,8871c0076628249a9fe630c7b2513477a53c67b873780ed7959261b7c7ba1fc7,7. JUL/OK_JUL_2017 (TMAS).VOL,a400510dbe4b649a6e3d077746aa3329b368e9767ae18171f51c921bad1e2aec,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/jul_2017_ccs_data.zip
2017,aug,research/gathering/raw/091-tmas/20260911T123706Z/zips/aug_2017_ccs_data.zip,7354b1cf9d523855ea65b566af39cd4209eed4f3339598f83db3b32bed7b6fde,8. AUG/OK_AUG_2017 (TMAS).VOL,5b6812f9574714fa112704fff514c6b86dbfa3524e025be13dae916731050d4f,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/aug_2017_ccs_data.zip
2017,sep,research/gathering/raw/091-tmas/20260911T123706Z/zips/sep_2017_ccs_data.zip,2ae5bfcdd8042841a856496cf05e74e92f74e3aa9e74ea35c481eb50c657c417,9. SEP/OK_SEP_2017 (TMAS).VOL,0b144555456d9f5dd6f775be73c1b1c3c950bbdb18a52007243bdd40d3438093,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/sep_2017_ccs_data.zip
2017,oct,research/gathering/raw/091-tmas/20260911T123706Z/zips/oct_2017_ccs_data.zip,b380668026fc3c386ef8d2ffc032a8fe6a52f423a8f7f4ea0aa71ba11d8729a7,10. OCT/OK_OCT_2017 (TMAS).VOL,149b6ce48e813c17445f18fa2ea31b1e617f022bee47df8f146e520805946d4f,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/oct_2017_ccs_data.zip
2017,nov,research/gathering/raw/091-tmas/20260911T123706Z/zips/nov_2017_ccs_data.zip,d7324ed757810027225b5092188f04ae13708fac841ca7da384d824b89e5a75a,11. NOV/OK_NOV_2017 (TMAS).VOL,904395aec34b7c834fc666d40dd8e72514966c74d505dcc4797cdac78d2c58d5,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/nov_2017_ccs_data.zip
2017,dec,research/gathering/raw/091-tmas/20260911T123706Z/zips/dec_2017_ccs_data.zip,75d85854874dd5c92b3d08dd2014279c8e5ffa084d96877248804402594c4803,12. DEC/OK_DEC_2017 (TMAS).VOL,c4bf094e89d45e792db71a5088c0a86e7cb69581aa9c38a7d76927f260adbbb5,https://www.fhwa.dot.gov/policyinformation/tables/tmasdata/2017/dec_2017_ccs_data.zip
