lag_weeks,shift_trading_days,n,pearson_r,spearman_rho
-4,-20,1591,0.03719608862449253,0.0793226064161659
-3,-15,1596,0.024698815596285492,0.06191048422578652
-2,-10,1601,0.016636369892611726,0.07076909762569
-1,-5,1606,-0.018509773260299782,0.0674973825774728
0,0,1611,-0.023010414839641526,0.07924959782991156
1,5,1606,-0.05729171902796697,0.07993499078692214
2,10,1601,-0.07633858708969983,0.08805560150621909
3,15,1596,-0.06824575892757039,0.10232153910662252
4,20,1591,-0.09060342806237824,0.056318562708614926
