station_id,date,direction,lane,hour,volume_veh
AVC040,2018-05-12,3,1,6,136
AVC040,2018-05-12,3,1,7,213
AVC040,2018-05-12,3,1,8,173
AVC040,2018-05-12,3,1,9,244
AVC040,2018-05-12,3,1,10,231
AVC040,2018-05-12,3,1,11,247
AVC040,2018-05-12,3,1,12,297
AVC040,2018-05-12,3,1,13,268
AVC040,2018-05-12,3,1,14,248
AVC040,2018-05-12,3,1,15,243
AVC040,2018-05-12,3,1,16,225
AVC040,2018-05-12,3,1,17,216
AVC040,2018-05-12,3,1,18,207
AVC040,2018-05-12,3,1,19,149
AVC040,2018-05-12,3,1,20,191
AVC040,2018-05-12,3,1,21,147
AVC040,2018-05-12,3,1,22,123
AVC040,2018-05-12,3,1,23,65
AVC040,2018-05-14,3,1,0,27
AVC040,2018-05-14,3,1,1,14
AVC040,2018-05-14,3,1,2,10
AVC040,2018-05-14,3,1,3,5
AVC040,2018-05-14,3,1,4,34
AVC040,2018-05-14,3,1,5,99
AVC040,2018-05-14,3,1,6,243
AVC040,2018-05-14,3,1,7,295
AVC040,2018-05-14,3,1,8,203
AVC040,2018-05-14,3,1,9,232
AVC040,2018-05-14,3,1,10,235
AVC040,2018-05-14,3,1,11,211
AVC040,2018-05-14,3,1,12,218
AVC040,2018-05-14,3,1,13,206
AVC040,2018-05-14,3,1,14,227
AVC040,2018-05-14,3,1,15,289
AVC040,2018-05-14,3,1,16,271
AVC040,2018-05-14,3,1,17,287
AVC040,2018-05-14,3,1,18,176
AVC040,2018-05-14,3,1,19,138
AVC040,2018-05-14,3,1,20,111
AVC040,2018-05-14,3,1,21,62
AVC040,2018-05-14,3,1,22,34
AVC040,2018-05-14,3,1,23,25
AVC040,2018-05-15,3,1,0,14
AVC040,2018-05-15,3,1,1,13
AVC040,2018-05-15,3,1,2,11
AVC040,2018-05-15,3,1,3,7
AVC040,2018-05-15,3,1,4,33
AVC040,2018-05-15,3,1,5,97
AVC040,2018-05-15,3,1,6,227
AVC040,2018-05-15,3,1,7,273
AVC040,2018-05-15,3,1,8,182
AVC040,2018-05-15,3,1,9,233
AVC040,2018-05-15,3,1,10,194
AVC040,2018-05-15,3,1,11,187
AVC040,2018-05-15,3,1,12,225
AVC040,2018-05-15,3,1,13,213
AVC040,2018-05-15,3,1,14,229
AVC040,2018-05-15,3,1,15,237
AVC040,2018-05-15,3,1,16,267
AVC040,2018-05-15,3,1,17,294
AVC040,2018-05-15,3,1,18,183
AVC040,2018-05-15,3,1,19,120
AVC040,2018-05-15,3,1,20,82
AVC040,2018-05-15,3,1,21,78
AVC040,2018-05-15,3,1,22,37
AVC040,2018-05-15,3,1,23,30
AVC040,2018-05-17,3,1,0,30
AVC040,2018-05-17,3,1,1,11
AVC040,2018-05-17,3,1,2,11
AVC040,2018-05-17,3,1,3,12
AVC040,2018-05-17,3,1,4,25
AVC040,2018-05-17,3,1,5,108
AVC040,2018-05-17,3,1,6,222
AVC040,2018-05-17,3,1,7,239
AVC040,2018-05-17,3,1,8,171
AVC040,2018-05-17,3,1,9,186
AVC040,2018-05-17,3,1,10,206
AVC040,2018-05-17,3,1,11,206
AVC040,2018-05-17,3,1,12,234
AVC040,2018-05-17,3,1,13,236
AVC040,2018-05-17,3,1,14,223
AVC040,2018-05-17,3,1,15,263
AVC040,2018-05-17,3,1,16,310
AVC040,2018-05-17,3,1,17,296
AVC040,2018-05-17,3,1,18,207
AVC040,2018-05-17,3,1,19,143
AVC040,2018-05-17,3,1,20,113
AVC040,2018-05-17,3,1,21,107
AVC040,2018-05-17,3,1,22,54
AVC040,2018-05-17,3,1,23,28
AVC040,2018-05-16,3,1,0,21
AVC040,2018-05-16,3,1,1,13
AVC040,2018-05-16,3,1,2,6
AVC040,2018-05-16,3,1,3,12
AVC040,2018-05-16,3,1,4,27
AVC040,2018-05-16,3,1,5,104
AVC040,2018-05-16,3,1,6,212
AVC040,2018-05-16,3,1,7,255
