name,n,pearson,spearman,signal_mean,target_mean,candidate_id
hormuz_d_vs_f1,259,0.08647589843945189,0.14618106645518553,0.023533737819452102,0.001849187071214035,ALT-20260907-18
hormuz_d_vs_rv5,259,0.005521505564674496,0.014605515541501465,0.023533737819452102,41.363962300990515,ALT-20260907-18
hormuz_lvl_vs_f1,260,-0.03820178993572405,-0.01515969823311805,50.01062271062271,0.0020414134416744424,ALT-20260907-18
bering_d_vs_f1,259,0.002103060410618925,-0.03987174759129145,-0.012226512226512234,0.001849187071214035,ALT-20260907-18
suez_d_vs_f1,259,-0.026494387856195824,-0.023755842168219563,0.025740025740025745,0.001849187071214035,ALT-20260907-18
malacca_d_vs_f1,259,0.0008630583710432253,0.018246137056967884,0.060764846479132203,0.001849187071214035,ALT-20260907-18
oilrig_d_vs_f1,469,-0.12027541595465216,-0.056252002673389485,-2.1343283582089554,0.0021908872477153247,ALT-20260907-19
oilrig_d_vs_rv5,469,-0.4139866285263996,-0.1863707425657343,-2.1343283582089554,38.24880225934374,ALT-20260907-19
oilrig_lvl_vs_f1,470,-0.10786771264244432,-0.09074403094353005,593.5595744680851,0.002079216905768162,ALT-20260907-19
gasrig_d_vs_f1,469,-0.01643128222138653,-0.05990715639587214,-0.4690831556503198,0.0021908872477153247,ALT-20260907-19
mmnet_d_vs_f1,369,-0.02618529603330562,0.025346319650998782,219.19783197831978,-0.0030728486600130112,ALT-20260907-20
mmnet_d_vs_rv5,369,0.062011872742606354,-0.08084893435084363,219.19783197831978,38.300418952540795,ALT-20260907-20
mmnet_lvl_vs_f1,370,0.09617656745629642,0.09534091884316304,245753.5,-0.0031925252432290804,ALT-20260907-20
bunker_d_vs_f1,108,0.09176753650736806,0.12746032049051265,7.480740740740742,-0.0009104540955521494,ALT-20260907-21
bunker_d_vs_rv5,108,-0.16090082506494138,-0.07650976021035182,7.480740740740742,38.55619210169939,ALT-20260907-21
bunker_d_vs_f5,108,0.16849399222855901,0.11275924814465497,7.480740740740742,-0.0014468486373214041,ALT-20260907-21
cushing_d_vs_f1,2135,0.20075656659664579,-0.016102082203451988,-0.03185011709601874,0.0006631670682676465,ALT-20260907-23
cushing_d_vs_rv5,2135,0.03319583489725934,-0.006727755067862666,-0.03185011709601874,37.62804415264353,ALT-20260907-23
pizza_d_vs_f1,2135,0.03428492968765236,0.04757666461431825,-0.09508196721311475,0.0006631670682676465,ALT-20260907-23
spr_d_vs_f1,2135,0.04238343714678216,-0.015496863686313122,0.10257611241217798,0.0006631670682676465,ALT-20260907-23
tsi_d_vs_f1,108,-0.12262302056508882,-0.02161142359315112,0.14259259259259252,-0.0009104540955521494,ALT-20260907-24
tsi_d_vs_rv5,108,-0.035395601505443595,-0.018385733933246492,0.14259259259259252,38.55619210169939,ALT-20260907-24
tsi_d_vs_f5,108,-0.07918498598453147,-0.015017318828088351,0.14259259259259252,-0.0014468486373214041,ALT-20260907-24
jet_d_vs_f1,469,0.007635913074231096,-0.025911938360777098,0.8912579957356077,0.0008688444920842432,ALT-20260907-25
jet_d_vs_rv5,469,-0.012454680809130248,0.015682890412465678,0.8912579957356077,37.70728976033415,ALT-20260907-25
jet_lvl_vs_f1,470,-0.09449853763610176,-0.029888186764714716,1559.0808510638299,0.0007599870070639552,ALT-20260907-25
