station_id,distance_km,lat,lon,counties,routes,f_systems,directions,lanes,num_lanes,class_types,year_est,rows,location
AVC033,132.738,35.281686,-97.953694,051,US-81,3R,1;5,1,1,H,05,2,"S-81, 2.10 miles S of SH-37, S of Min"
AVC509,136.922,34.755452,-96.687130,123,SH-3,2U,3;7,1;2,2,H,18,4,"H-3, 1.10 miles E of SH-1, in Ada"
WIM009,136.922,34.755452,-96.687130,123,SH-3,2U,3;7,1;2,2,H,95,4,"H-3, 1.10 miles E of SH-1, in Ada"
AVC051,139.894,34.942427,-95.902594,121,US-270,4R,3;7,1,1,H,00,2,"S-270, 8.00 miles W of  US-69, NW of"
AVC510,140.059,35.068675,-95.705180,121,US-69,3R,1;5,1;2,2,H,18,4,"S-69, 5.40 miles N of SH-113 S, N of"
WIM010,140.059,35.068675,-95.705180,121,US-69,3R,1;5,1;2,2,H,95,4,"S-69, 5.40 miles N of SH-113 S, N of"
AVC021,140.757,35.533543,-95.309667,101,US-64,5R,3;7,1;2,2,H,00,4,"S-64 , 2.39 miles N of SH-2, N of War"
AVC523,143.567,36.391115,-98.285617,093,US-412,3R,3;7,1,1,H,18,2,"S-412, 2.10 miles W of SH-58, W of Ri"
WIM023,143.567,36.391115,-98.285617,093,US-60,3R,3;7,1,1,H,00,2,"S-412, 2.10 miles W of SH-58, W of Ri"
AVC022,146.296,34.720700,-97.212940,049,US-77,3U,1;5,1,1,H,00,2,"S-77, 1.74 miles S of SH-19, in Pauls"
AVC055,146.362,35.097382,-97.961404,051,US-81,3R,1;5,1,1,H,00,2,"S-81, 2.50 miles N of US-62, N of Chi"
AVC043,150.273,36.612279,-95.281641,035,SH-66,5R,3;7,1,1,H,00,2,"H-66, 3.00 miles SW of US-60, W of Vi"
AVC507,154.041,35.841311,-98.468251,011,US-270,3R,3;7,1;2,2,H,18,4,"S-270, 2.70 miles W of SH-8, W of Wat"
WIM007,154.041,35.841311,-98.468251,011,US-270,3R,3;7,1;2,2,H,95,4,"S-270, 2.70 miles W of SH-8, W of Wat"
AVC042,154.364,36.628594,-95.240541,035,US-60,3R,3;7,1,1,H,00,2,"S-60, 0.10 miles NW of SH-66, W of Vi"
AVC057,158.449,36.328963,-98.479747,093,US-60,4R,1;5,1,1,H,00,2,"S-60, 3.50 miles N of SH-8, N of Fair"
AVC046,164.561,34.534063,-97.123401,099,US-77,5R,1;5,1,1,H,07,2,"S-77. 2.00 miles N of SH-7, N of Davi"
AVC052,166.753,34.550147,-96.233324,029,US-75,3R,1;5,1,1,H,07,2,"S-75, 3.00 miles SE of SH-3, NW of Co"
AVC045,168.464,35.037862,-95.314371,077,SH-2,4R,1;5,1,1,H,07,2,"H-2, 7.70 miles S of SH-31, N of Wilb"
AVC502,172.741,34.462906,-97.146850,099,I-35,1R,1;5,1;2,2,H,18,4,"-35, 3.60 miles S of SH-7, S of Davis"
WIM002,172.741,34.462906,-97.146850,099,I-35,1R,1;5,1;2,2,H,95,4,"-35, 3.60 miles S of SH-7, S of Davis"
WIM011,176.444,34.730346,-97.958095,051,US-81,3R,1;5,1;2,2,H,95,4,"S-81, 2.46 miles S of US-81B S, S of"
AVC511,176.444,34.730346,-97.958095,051,US-81,3R,1;5,1;2,2,H,18,4,"S-81, 2.46 miles S of US-81B S, S of"
AVC060,181.810,35.117331,-98.470341,015,SH-9,4R,3;7,1,1,H,05,2,"H-9, 1.50 miles W of.SH-146, W of Ft"
AVC529,192.338,35.445802,-94.742733,135,I-40,1R,3;7,1;2,2,H,18,4,"-40, 0.96 miles E of US-64"
WIM029,192.338,35.445802,-94.742733,135,I-40,1R,3;7,1;2,2,H,00,4,"-40, 0.96 miles E of US-64"
AVC044,194.368,35.771109,-94.625876,001,US-59,3R,1;5,1,1,H,00,2,"S-59, 2.50 miles S of SH-100, S of St"
AVC038,203.216,36.797782,-98.800576,151,US-64,4R,3;7,1,1,H,07,2,"S-64, 4.30 miles E of SH-14, W of Alv"
AVC029,210.016,34.141177,-96.267377,013,US-69,3R,1;5,1;2,2,H,07,4,"S-69, 0.74 miles N of SH-22, NE of Du"
AVC015,212.187,34.601433,-98.377128,031,I-44,1U,3;7,1;2,2,H,95,4,"-44, 0.50 miles N of SH-7 (Lee Blvd),"
AVC037,217.347,35.291316,-99.015580,149,SH-152,5R,3;7,1,1,H,05,2,"H-152, 1.50 miles W of US-183, W of C"
AVC522,217.914,35.105290,-94.614706,079,SH-112,5R,3;7,1,1,H,18,2,"H-112, 1.20 miles E of US-59, E of Po"
WIM022,217.914,35.105290,-94.614706,079,SH-112,5R,3;7,1,1,H,00,2,"H-112, 1.20 miles E of US-59, E of Po"
AVC518,227.574,34.637947,-98.655226,031,US-62,3R,3;7,1;2,2,H,18,4,"S-62, 1.30 miles W of SH-115"
WIM118,227.574,34.637947,-98.655226,031,US-62,3R,3;7,1;2,2,H,95,4,"S-62, 1.30 miles W of SH-115"
AVC048,228.440,34.187334,-97.982231,067,US-81,3R,1;5,1,1,H,00,2,"S-81, 2.00 miles N of US-70, N of Wau"
