month,activity,signal
2018-01,103329.0,-128.31226691609257
2019-05,157125.0,-136.93488893149805
2019-06,105170.0,-207.95912880027143
2020-05,631146.0,139.04955476307308
2020-06,818362.75,205.17276094293376
2021-09,86150.0,-176.4262604347812
