k,n,pearson,spearman
-5,365,-0.10394232554511194,-0.11081183827322716
-4,366,-0.0717905854828901,-0.021956483056333825
-3,367,-0.015685987622405615,0.06225384373086327
-2,368,-0.045998899876956476,0.07130857989273463
-1,369,-0.003475889303260599,0.19295474871203044
0,369,-0.02618529603330562,0.025346319650998782
1,368,-0.04716858230449247,-0.029617227086677574
2,367,-0.04235696002320884,-0.08794592163662547
3,366,-0.009448700871130412,-0.003665899995276123
4,365,0.02568094938542707,0.02302991476667351
5,364,0.027538593457408486,0.046561414496016376
