month,food_cpi,food_yoy_pct,available_date,cushing_kbbl,cushing_52w_z,future_wti_rv21,food_shock,cushing_tight,joint_gate
2014-11-01,85.42419101,7.406925980369383,2015-01-14,33874,1.346377617281199,0.7090122300868913,False,False,False
2014-12-01,89.47996924,12.584119256366243,2015-02-14,42598,2.7474393690978753,0.3842949670378609,False,False,False
2015-01-01,89.05207719,10.055451479897437,2015-03-17,51538,2.857654490391159,0.5551463449646229,False,False,False
2015-02-01,88.62676143,9.958636305001534,2015-04-14,60175,2.5929391471023293,0.26608783535364466,False,False,False
2015-03-01,89.07574821,9.552752216203952,2015-05-15,60684,1.8416146925177745,0.37717898295212676,False,False,False
2015-04-01,91.04220419,10.014957150117398,2015-06-14,58003,1.3689254487935942,0.3749562732134129,False,False,False
2015-05-01,91.26416337,14.830893827075675,2015-07-15,57105,1.0804445530117486,0.29373206856707756,False,False,False
2015-06-01,91.79751226,15.816814190624196,2015-08-14,57113,0.9266228748431042,0.7134979184715466,False,False,False
2015-07-01,92.70280787,13.425617954723945,2015-09-14,56410,0.7487476584158702,0.4769722408083954,False,False,False
2015-08-01,92.98086622,11.10755340821954,2015-10-15,54197,0.46710512637981016,0.3759018245777174,False,False,False
2015-09-01,92.78255052,9.884790083933726,2015-11-14,55359,0.44103032773537765,0.40882659325369,False,False,False
2015-10-01,91.92900562,8.664373228548229,2015-12-15,59449,0.7241979655779924,0.47721988666833043,False,False,False
2015-11-01,91.99977724,7.69756921576259,2016-01-14,64007,1.358672114566996,0.938846372919313,False,False,False
2015-12-01,94.89022787,6.046334923840657,2016-02-14,64697,1.6745020375678417,0.48976794984797656,False,False,False
2016-01-01,95.75540137,7.5274203494410274,2016-03-16,67491,2.1032689567921525,0.4753453587676034,False,False,False
2016-02-01,95.23176655,7.4526080084928115,2016-04-14,64551,1.1225621204651839,0.3497518688784454,False,False,False
2016-03-01,95.31703374,7.006716929602308,2016-05-15,67812,1.6793481241140553,0.2002974729231293,False,False,False
2016-04-01,95.21711861,4.585691281471149,2016-06-14,65557,0.9794771130307015,0.5315441171960065,False,False,False
2016-05-01,94.85363065,3.933052303835516,2016-07-15,63916,0.49656148099462954,0.36351337691910335,False,False,False
2016-06-01,96.41663154,5.031856709708182,2016-08-14,65255,0.667905922589137,0.4026172651953022,False,False,False
2016-07-01,97.55695397,5.236244954745173,2016-09-14,62188,-0.11935771156482214,0.36121553242542515,False,False,False
2016-08-01,99.67296983,7.197291100908831,2016-10-15,61334,-0.5665000101399494,0.3503999022912754,False,False,False
2016-09-01,99.96480989,7.740959188712759,2016-11-14,58479,-1.8993119162924725,0.4807176878349574,False,True,False
2016-10-01,99.22348448,7.934904561192191,2016-12-15,66508,0.970210257221077,0.26631508386314956,False,False,False
2016-11-01,99.51922955,8.173337518398549,2017-01-14,66930,0.9981237517221688,0.22070945498015604,False,False,False
2016-12-01,101.5335469,7.001057094205088,2017-02-14,65270,0.3222696850544789,0.2683681459149734,False,False,False
2017-01-01,102.8363411,7.394820165432936,2017-03-17,66532,0.8920653130080944,0.17496496790665358,False,False,False
2017-02-01,104.3684836,9.594190448208174,2017-04-14,69420,1.7861400404583416,0.29974400539316787,False,False,False
2017-03-01,108.8367998,14.1839978957784,2017-05-15,66273,0.6005677709622812,0.3407011123528936,False,False,False
2017-04-01,111.8453096,17.463446943933935,2017-06-14,62220,-0.7759973646468007,0.2785100427972677,False,False,False
2017-05-01,110.4546886,16.447507431282492,2017-07-15,57561,-2.1283915727465055,0.24550430986636226,False,True,False
2017-06-01,110.2371964,14.334212510075428,2017-08-14,56369,-1.9208286076614765,0.29995127589181597,False,True,False
2017-07-01,110.761286,13.534998267843124,2017-09-14,59053,-0.9226741260460071,0.24348083113152233,False,False,False
2017-08-01,111.0381481,11.402467779764368,2017-10-15,63784,0.26473062525026275,0.17117597373821905,False,False,False
2017-09-01,109.605725,9.644308952929293,2017-11-14,64559,0.37096488919803855,0.2316690610055066,False,False,False
2017-10-01,109.7992061,10.658486421258173,2017-12-15,52244,-2.48214352254399,0.14291969491980688,False,True,False
2017-11-01,112.2059481,12.748007201589107,2018-01-14,46578,-2.8083166023879023,0.2147979937828144,False,True,False
2017-12-01,114.8794593,13.144337814913843,2018-02-14,32667,-2.9847640419966295,0.23721148361206812,False,True,False
2018-01-01,115.244998,12.066412288952977,2018-03-17,28518,-2.3560986503847743,0.2788414816948525,False,True,False
2018-02-01,115.6233188,10.783748897928792,2018-04-14,36022,-1.3699655686465775,0.21725330716720942,False,True,False
2018-03-01,115.6808363,6.288347794658322,2018-05-15,37170,-1.077870513007421,0.238994640126419,False,True,False
2018-04-01,118.4041254,5.864184938516193,2018-06-14,33902,-1.1252850987073417,0.36598269800095456,False,True,False
2018-05-01,119.2519023,7.964545291380243,2018-07-15,25718,-1.5271146845921213,0.25770210341499145,False,True,False
2018-06-01,124.1798861,12.647899398138174,2018-08-14,21803,-1.5263733904329535,0.1938077835756157,False,True,False
2018-07-01,127.4629336,15.078957822862415,2018-09-14,23583,-1.1550502454753337,0.24729234620382218,True,True,True
2018-08-01,138.4616389,24.697359663547914,2018-10-15,26852,-0.7719982806248119,0.30107832895625514,True,False,False
2018-09-01,147.2426279,34.33844618974054,2018-11-14,35463,0.14670791541038325,0.49074931790026527,True,False,False
2018-10-01,159.1886927,44.981642722460435,2018-12-15,39401,0.9259815143476511,0.5918154032553878,True,False,False
2018-11-01,166.0795173,48.013113486628065,2019-01-14,42262,1.7138071298129938,0.2846514244173304,True,False,False
2018-12-01,174.543836,51.93650550198925,2019-02-14,41609,1.4441643862846365,0.22246518187384293,True,False,False
2019-01-01,179.8627418,56.069890165645205,2019-03-17,46851,1.7827712842228742,0.19452916969982614,True,False,False
2019-02-01,188.2114902,62.779871874772695,2019-04-14,45992,1.3870063606623135,0.2136961350870213,True,False,False
2019-03-01,200.3519871,73.19375750398167,2019-05-15,47803,1.3873676437410045,0.39844771175778126,True,False,False
2019-04-01,218.3939615,84.44793267312964,2019-06-14,52940,1.6708935697033158,0.3806216615194152,True,False,False
2019-05-01,216.71149,81.72581386150348,2019-07-15,52178,1.3298757182365428,0.46849124188002816,True,False,False
2019-06-01,216.2489538,74.14169121226146,2019-08-14,44821,0.41267798985218446,0.3075742545318669,True,False,False
2019-07-01,219.0651203,71.86574489762097,2019-09-14,39328,-0.37369964675373835,0.28807700186336316,True,False,False
2019-08-01,217.9465924,57.405758108500905,2019-10-15,41677,-0.3151682400401339,0.23047548930212622,True,False,False
2019-09-01,214.9291474,45.96937752698178,2019-11-14,46516,0.3809964863479273,0.331728676240712,True,False,False
2019-10-01,212.6679228,33.5948673193671,2019-12-15,40429,-1.2299327847113777,0.24425871036732782,False,True,False
2019-11-01,215.6297994,29.83527583988228,2020-01-14,35501,-2.153810797301978,0.25443740424218014,False,True,False
2019-12-01,224.7045177,28.738157043827094,2020-02-14,38376,-1.2028704188546666,1.1888354336667244,False,True,False
2020-01-01,223.8860097,24.476035147374798,2020-03-16,37882,-1.1219810101064867,1.831876843839492,False,True,False
2020-03-01,229.946735,14.771377278743248,2020-05-15,62444,2.300060243272147,0.5443620591216711,False,False,False
2020-04-01,241.7909494,10.713202754921403,2020-06-14,49444,0.5516434997885155,0.3591525604860426,False,False,False
2020-05-01,242.600105,11.946120161879747,2020-07-15,48737,0.5471281327385626,0.25287677807844566,False,False,False
2020-06-01,248.3891965,14.862611880992137,2020-08-14,53289,1.0899731101979768,0.3801938158546176,False,False,False
2020-07-01,264.9368062,20.939748800347925,2020-09-14,54351,1.0801477959596608,0.47683750415782583,False,False,False
2020-08-01,274.2116656,25.81599123914544,2020-10-15,59442,1.4755861313218213,0.5278526538244871,False,False,False
2020-09-01,282.4748457,31.426960520292834,2020-11-14,60413,1.3450161674689916,0.2226428550098091,True,False,False
2020-10-01,298.6540837,40.43212524385458,2020-12-15,58211,0.9180383495358105,0.29128185965108644,True,False,False
2020-11-01,337.9994953,56.74990017172923,2021-01-14,57227,0.6409192945998707,0.17868448411370344,True,False,False
2020-12-01,355.0101175,57.989755227782844,2021-02-14,48044,-0.6530098171655369,0.3434138346401984,True,False,False
2021-01-01,358.274933,60.02560118878208,2021-03-17,48210,-0.9424157804458027,0.4957484651668855,True,False,False
2021-02-01,377.4380838,67.18401723134515,2021-04-14,46668,-1.2594290883583223,0.23486063126032178,True,True,True
2021-03-01,384.0872047,67.03311951787443,2021-05-15,45905,-1.2388981091997873,0.25566795650778856,True,True,True
2021-04-01,395.3369086,63.50360076794506,2021-06-14,45704,-1.1114100566675822,0.24754480188397937,True,True,True
