structure_number,county_code,place_code,facility,location,latitude,longitude,year_built,year_reconstructed,inspection_mmyy,inspection_ym,inspection_frequency_months,deck,superstructure,substructure,channel,culvert,adt,adt_year
119710000000000,119,00000,LAWSON RD(N3540),LAWSON RD\32ND ST .2S,36050303,096414644,1950,0000,0923,2023-09,24,5,5,5,7,N,20,2022
168960000000000,119,00000,80TH ST.,D0685,36015808,096533229,1967,0000,0923,2023-09,24,5,4,5,7,N,100,2022
200360000000000,119,00000,E0648,.8S .2E OF 32ND/BTLERD,36043307,096475201,1938,1988,0923,2023-09,24,6,5,6,6,N,100,2022
203650000000000,119,00000,LONE CHIMNEY,LONE CHMNY\W.POINT .5E,36135441,096504498,1983,0000,0923,2023-09,24,N,N,N,7,6,75,2022
205000000000000,119,00000,N3430,BETHEL RD\AIRPORT RD.6S,36090563,096532535,1983,0000,0923,2023-09,24,7,8,6,6,N,100,2022
208120000000000,119,00000,44TH ST.,44THST\BATTLE RGE RD.1E,36041992,096475957,1984,0000,0923,2023-09,24,6,6,6,5,N,75,2022
215190000000000,119,00000,LONE CHIMNEY(E0540,LONECHMNY\RIPLEY .2E,36135643,096541650,1987,0000,0923,2023-09,24,N,N,N,6,6,465,2022
220940000000000,119,00000,NORFOLK RD.(N3530),NORFOLK RD\19TH ST .6S,36053129,096424994,1988,0000,0923,2023-09,24,6,8,6,6,N,625,2022
224140000000000,119,00000,68TH ST. (E0670),68TH\MT.VERNON RD INTR,36023792,096491735,1989,0000,0923,2023-09,24,6,8,7,6,N,600,2022
227120000000000,119,00000,MCELROY (E0610),MCELROY\NORFOLK .7E,36074965,096420208,1991,0000,0923,2023-09,24,6,5,5,6,N,100,2022
233990000000000,119,00000,EAGLE RD.,EAGLE RD\6TH ST .3S,36064415,096383305,1993,0000,0923,2023-09,24,5,6,6,7,N,100,2022
235930000000000,119,00000,LOST CRK RD(N3370),LOST CRK RD\6TH ST .6S,36062340,096595143,1994,0000,0923,2023-09,24,7,8,7,7,N,1470,2022
235970000000000,119,00000,LONE CHIMNEY,LONECHMNY\FAIR GND.8E,36135686,096585913,1993,0000,0923,2023-09,24,6,6,5,6,N,50,2022
235990000000000,119,00000,BETHEL RD.(N3430),BETHEL RD\MCELROY .2S,36074449,096532560,1994,0000,0923,2023-09,24,6,6,5,6,N,50,2022
236120000000000,119,00000,BETHEL RD.(N3430),BETHELRD\NOBLE RD INTR,36144661,096532440,1993,0000,0923,2023-09,24,6,6,5,6,N,50,2022
238770000000000,119,00000,PRAIRIE RD (N3380),PRAIRIE RD & 44TH ST .1S,36041702,096584829,1993,0000,0923,2023-09,24,7,8,7,6,N,100,2022
238790000000000,119,00000,44TH ST.,44TH ST\CNCL CRK RD .9E,36042137,096512314,1994,0000,0923,2023-09,24,6,6,4,6,N,24,2022
239870000000000,119,00000,NORFOLK RD.,NORFOLK RD\ESECO .5S,35565622,096424989,1994,0000,0923,2023-09,24,6,5,5,6,N,100,2022
241110000000000,119,00000,MCELROY (E0610),MCELROY & UNION RD .7E,36075110,096565670,1994,0000,0923,2023-09,24,7,5,5,6,N,75,2022
241200000000000,119,00000,UNION RD. (N3390),UNION RD & 56TH ST .6S,36025806,096574437,1994,0000,0923,2023-09,24,7,6,5,6,N,100,2022
241360000000000,119,00000,E0670,68TH ST/ROSE RD .8E,36023901,096544678,1994,0000,0923,2023-09,24,7,6,6,7,N,709,2022
241540000000000,119,00000,19TH ST. (E0630),19TH ST\MT.VERNON RD.8E,36060363,096481957,1995,0000,0923,2023-09,24,7,5,5,6,N,100,2022
241550000000000,119,00000,CLAY RD. (N3460),CLAY RD\LAKEVIEW RD.1S,36083346,096501354,1996,2006,0923,2023-09,24,6,6,5,6,N,100,2022
242270000000000,119,00000,44TH ST (E0650),44TH ST & MEHAN RD .2E,36042319,096562976,1996,0000,0923,2023-09,24,7,6,6,6,N,50,2022
246210000000000,119,00000,VFW RD.,VFW RD\DIAMND VY.3E,36112154,096562112,1993,0000,0923,2023-09,24,6,6,6,6,N,50,2022
246430000000000,119,00000,68TH ST.,68TH ST\W. POINT .4E,36023785,096504754,1996,0000,0923,2023-09,24,6,6,6,7,N,250,2022
246620000000000,119,00000,UNION RD.,UNION RD & 44TH S .9S,36033220,096574401,1996,0000,0923,2023-09,24,7,8,6,5,N,60,2022
246630000000000,119,00000,UNION RD.,UNION RD & 44TH ST .8S,36033889,096574400,1996,0000,0923,2023-09,24,7,8,7,8,N,60,2022
251540000000000,119,00000,9TH ST.,9TH ST\EUCHEE VY.3E,35581625,096412493,1999,0000,0923,2023-09,24,7,8,7,6,N,200,2022
251970000000000,119,00000,UNION RD. (N3390),RICHMOND\UNION RD.7S,36095277,096574209,1997,0000,0923,2023-09,24,6,6,6,6,N,75,2022
252320000000000,119,00000,LONE CHIMNEY(E0540,LONE CHMNY\CLAY RD .8E,36135376,096492014,1997,0000,0923,2023-09,24,6,5,5,6,N,75,2022
252570000000000,119,00000,56TH ST,56TH ST\EAGLE RD .5E,36032812,096380539,1997,0000,0923,2023-09,24,7,6,6,6,N,24,2022
252580000000000,119,00000,68TH ST. (E0670),68TH ST\CNCL CRK RD .9E,36023888,096512385,1997,0000,0923,2023-09,24,6,6,5,6,N,125,2022
252590000000000,119,00000,6TH ST. (E0620),6TH ST\RIVERSIDE RD .6E,36065768,096442195,1996,0000,0923,2023-09,24,6,6,6,6,N,25,2022
255080000000000,119,00000,E0600,LAKEVIEW/BETHEL RD .2E,36084363,096531442,1998,0000,0923,2023-09,24,6,6,6,6,N,75,2022
255860000000000,119,00000,56TH ST (E0660),56TH ST & MEHAN RD .2E,36032960,096563118,1998,0000,0923,2023-09,24,7,5,6,7,N,50,2022
256090000000000,119,00000,80TH ST. (E0680),80TH ST\OAK GROVE RD.6E,36014511,096375034,1997,0000,0923,2023-09,24,7,8,8,6,N,75,2022
256880000000000,119,00000,95TH ST.,95TH ST\GREENWD RD .4E,36002700,096391800,1999,0000,0923,2023-09,24,7,8,8,6,N,50,2022
261830000000000,119,00000,DUNKIN RD.,DUNKIN\KINGS HWY .2E,36023715,096465525,1998,0000,0923,2023-09,24,N,N,N,6,3,297,2022
261840000000000,119,00000,RIPLEY RD.(N3420),RIPLEY RD\RICHMOND.2S,36101929,096542831,2000,0000,0923,2023-09,24,6,6,6,7,N,100,2022
263980000000000,119,00000,E0580  RICHMOND RD,RICHMOND/DIAMND VY .6E,36102949,096555947,2000,0000,0923,2023-09,24,6,6,5,6,N,75,2022
263990000000000,119,00000,E0580  RICHMOND RD,RICHMOND/RIPLEY RD. .1E,36102896,096542231,2000,0000,0923,2023-09,24,6,6,6,7,N,75,2022
265030000000000,119,00000,VFW RD.,VFW RD\FAIRGNDS RD .9E,36112025,096585776,2001,0000,0923,2023-09,24,6,6,6,7,N,50,2022
265040000000000,119,00000,BURRIS RD.,VFW RD\PRAIRIE RD .9E,36112058,096574577,2001,0000,0923,2023-09,24,6,5,6,7,N,50,2022
267900000000000,119,00000,EUCHEE VALLEY(N354,EUCHEE VY\ESECO .1S,35571858,096414525,2003,0000,0923,2023-09,24,7,8,7,8,N,100,2022
268050000000000,119,00000,19TH ST.,19THST\BRETHEREN RD.8E,36060382,096492267,2001,0000,0923,2023-09,24,6,6,6,7,N,40,2022
269760000000000,119,02710,BROADWAY,.14S HWY 51/ .24W N5340,36065078,096420285,1999,0000,0923,2023-09,24,N,N,N,7,6,150,2022
270360000000000,119,00000,E0640,32ND ST\MEHAN RD .3E,36051500,096561400,2002,0000,0923,2023-09,24,6,6,5,6,N,50,2022
270370000000000,119,00000,E0640,32ND ST\MEHAN RD .1E,36051505,096562727,2002,0000,0923,2023-09,24,6,6,6,7,N,50,2022
270390000000000,119,00000,AIRPORT RD.(E0590),AIRPORT RD\TMOONS .1E,36093355,096455794,2002,0000,0923,2023-09,24,6,6,5,6,N,25,2022
270620000000000,119,00000,56TH ST (E0660),.2W 1N .8W OF MEHAN,36032953,096573081,2004,0000,0923,2023-09,24,7,7,7,8,N,50,2022
270660000000000,119,00000,AIRPORT RD.(E0590),AIRPORT RD\TMOONS INTR,36093353,096455884,2002,0000,0923,2023-09,24,6,6,5,6,N,25,2022
271720000000000,119,00000,E0680 (FAIRLAWN),FAIRLAWN/LINWOOD .9E,36014459,096440227,2002,0000,0923,2023-09,24,6,6,5,6,N,75,2022
271730000000000,119,00000,LAKEVIEW RD(E0600),1S 1.3W OF QUAY,36084133,096441040,2002,0000,0923,2023-09,24,6,6,5,7,N,25,2022
273190000000000,119,00000,RIPLEY RD.(N3420),RIPLEY RD\RICHMOND .9S,36094472,096542862,2004,0000,0923,2023-09,24,7,8,8,8,N,50,2022
273770000000000,119,00000,MEHAN RD.(N3400),MEHAN RD & 56TH ST .7S,36025308,096564046,2003,0000,0923,2023-09,24,7,5,6,7,N,200,2022
277200000000000,119,00000,VFW RD. (E0570),VFW RD\RIPLEY RD .1E,36112084,096541662,2004,0000,0923,2023-09,24,6,6,6,7,N,75,2022
277210000000000,119,00000,RICHMOND RD.(E0580,RICHMOND\BETHEL RD.3E,36102764,096530422,2004,0000,0923,2023-09,24,6,6,5,7,N,25,2022
277220000000000,119,00000,AIRPORT RD.(E0590),AIRPORTRD&UNION RD .2E,36093642,096573245,2003,0000,0923,2023-09,24,6,6,6,6,N,50,2022
279290000000000,119,00000,E0630 (19TH ST.),.5E OF 19TH ST/EAGLE RD.,36060741,096380576,2005,0000,0923,2023-09,24,7,8,7,8,N,100,2022
280210000000000,119,00000,MT. VERNON RD.,MT.VERNON RD\19TH ST.4S,36054607,096491056,2007,0000,0923,2023-09,24,6,8,8,8,N,100,2022
281720000000000,119,00000,AIRPORT RD.,.8E AIRPORT RD/RIVERSIDE,36093415,096440924,2004,0000,0923,2023-09,24,6,6,6,6,N,50,2022
282630000000000,119,00000,E0600,2.N 2.6 E FRGRDS RD/SH 51,36084400,096570600,2014,0000,0923,2023-09,24,7,8,8,8,N,50,2022
283550000000000,119,00000,N3540,EUCHEE VALL.3S.OFMAINST.,35585587,096414726,2005,0000,0923,2023-09,24,7,6,6,8,N,100,2022
283560000000000,119,00000,19TH ST.,4MI.N&.3E OF MEHAN,36060737,096561834,2003,0000,0923,2023-09,24,6,6,5,6,N,50,2022
283570000000000,119,00000,E0600,3MI.N&2.4MI.E OF INGALLS,36083983,096501517,2005,0000,0923,2023-09,24,6,6,6,6,N,50,2022
288060000000000,119,02710,DALLAS AVE.,.2W OF 'C' ST.,36063896,096415810,1930,0000,0923,2023-09,24,5,6,5,6,N,200,2022
290140000000000,119,00000,IRR N3470,3W; 1.8S OF SH 18/SH 51,36045900,096491100,2013,0000,0923,2023-09,24,7,8,8,8,N,50,2022
290150000000000,119,00000,E0610 MCELROY,1N .1E OF SH 51 IN YALE,36074900,096414300,2016,0000,0923,2023-09,24,7,8,8,8,N,75,2022
290530000000000,119,02710,MAIN ST.,MAIN STREET,36064680,096415755,1931,0000,0923,2023-09,24,N,5,5,8,N,300,2022
293150000000000,119,00000,E0740,TEXCORD/NORFOLK RD .7E,35563200,096421000,2007,0000,0923,2023-09,24,7,8,8,8,N,100,2022
295430000000000,119,00000,N3440,6W 0.25N JCT SH51/SH18,36071200,096522100,1936,2009,0923,2023-09,24,6,5,5,5,N,100,2022
296470000000000,119,00000,EUCHEE VALLEY,1.3N; 1W OF SCHLEGEL,36010500,096414800,2005,0000,0923,2023-09,24,6,6,6,7,N,50,2022
296570000000000,119,00000,E0640,4.4W; 1.7S OF YALE,36051200,096472700,2009,0000,0923,2023-09,24,7,6,6,6,N,50,2022
296580000000000,119,00000,E0630,1S OF SH51 & 1.5W SH108,36060700,096560600,2006,0000,0923,2023-09,24,6,6,6,7,N,100,2022
296590000000000,119,00000,N3520,2W & 2.6 N OF YALE,36092600,096435200,2005,0000,0923,2023-09,24,6,6,5,7,N,100,2022
298560000000000,119,00000,N3540 (EUCHEE),EUCHEEVALLEY/80THST.1S,36013700,096414800,2008,0000,0923,2023-09,24,7,8,8,8,N,200,2022
299510000000000,119,00000,N3470 (STILES RD.),1.8S; 3W OF S.H. 33/18,35573500,096491300,2013,0000,0923,2023-09,24,7,6,6,6,N,50,2022
300270000000000,119,00000,N3410 (ROSE RD),2.8S; 1W OF SH51/SH108,36044000,096553500,2013,0000,0923,2023-09,24,6,6,6,6,N,100,2022
300290000000000,119,00000,E0580(RICHMOND RD),4.8E 1N OF US177/AIRPORT,36102800,096580000,2013,0000,0923,2023-09,24,6,6,6,6,N,50,2022
303330000000000,119,00000,E0585,RICHMD;FAIRGND .5S.1E,36100100,096594700,2011,0000,0923,2023-09,24,6,6,5,7,N,50,2022
303340000000000,119,00000,N3450,W. POINT RD; 19TH ST. .2S,36055700,096511800,2011,0000,0923,2023-09,24,6,6,6,7,N,100,2022
303380000000000,119,00000,N3550,1.1S 5E JCT 18/33,35581400,096404200,2011,0000,0923,2023-09,24,6,6,6,6,N,50,2022
304070000000000,119,00000,GRANDSTAFF,.1E; OF STILES,36000000,096490600,2014,0000,0923,2023-09,24,6,7,6,7,N,100,2022
306370000000000,119,00000,IRR N3550 SCHLEGEL,SCHLEGEL-ESECO .6S,35565400,096404000,2013,0000,0923,2023-09,24,6,6,6,8,N,100,2022
306680000000000,119,00000,N3480 BATTLE RIDGE,BATTLERDGE/AIRPORT .5S,36090389,096480673,2013,0000,0923,2023-09,24,N,N,N,N,6,25,2022
310240000000000,119,00000,E0740,.2E TEXCO RD/ELM CREEK RD,35563100,096510900,2013,0000,0923,2023-09,24,7,7,7,8,N,125,2022
311900000000000,119,00000,IRR N3530 NORFOLK,3E of CUSHING,36003835,096425071,2023,0000,0923,2023-09,24,N,N,N,8,8,750,2022
311910000000000,119,00000,IRR N3530 NORFOLK,3E of CUSHING,36010151,096425068,2023,0000,0923,2023-09,24,N,N,N,8,8,750,2022
318030000000000,119,00000,E0600 LAKEVIEW RD,LAKEVIEW/CNCL CRK .2E,36084200,096520700,2016,0000,0923,2023-09,24,7,6,6,8,N,100,2022
319030000000000,119,00000,N3390 (UNION RD),UNION RD / YOST .5S,36114662,096574141,2016,0000,0923,2023-09,24,7,5,7,8,N,50,2022
319270000000000,119,00000,N3390 (UNION),.9S OF UNION/YOST,36112955,096574198,2017,0000,0923,2023-09,24,7,6,7,8,N,50,2022
320750000000000,119,00000,N3460 CLAY RD,CLAY RD/YOST RD .1S,36120455,096501132,2017,0000,0923,2023-09,24,7,6,6,5,N,50,2022
320810000000000,119,00000,N3440 COUNCIL CR.,CNCLCRK\LAKEVIEW .3S,36082821,096522218,2017,0000,0923,2023-09,24,7,6,6,8,N,100,2022
321240000000000,119,00000,IRR E0630 19TH ST,1.2W 1S of YALE,36060558,096431199,2019,0000,0923,2023-09,24,8,8,8,8,N,100,2022
325820000000000,119,00000,E0570 VFW RD,VFW RD/ROSE RD .8E,36112123,096543836,2019,0000,0923,2023-09,24,7,6,7,6,N,75,2022
326200000000000,119,00000,IRR E0685 86TH ST.,.3E OF JCT 86TH/ROSE RD,36012131,096552066,2023,0000,0923,2023-09,24,9,8,8,8,N,75,2022
328080000000000,119,00000,E0570 (VFW RD),.9E CLAY RD,36111606,096491771,2020,0000,0923,2023-09,24,7,6,7,8,N,50,2022
329540000000000,119,00000,E0530 OAK CREEK,NOBLE RD,36144699,096583828,2021,0000,0923,2023-09,24,7,7,7,7,N,50,2022
330820000000000,119,00000,E0660,56 ST COUNCIL VALLEY RD,36032842,096463540,2022,0000,0923,2023-09,24,7,6,7,8,N,50,2022
314670000000000,119,02300,N3335 (HUSBAND ST),.35N of BOOMER,36081407,097033785,2023,0000,1123,2023-11,24,8,8,8,8,N,5500,2022
315130000000000,119,02300,E0618 (3RD ST.),.1W of PERKINS RD,36070819,097030700,2023,0000,1123,2023-11,24,9,8,8,8,N,4000,2022
020110000000000,119,00000,S.H. 18 / S.H. 33,6.25 MI N&E LINCOLN CL,35590823,096484814,1920,1988,0124,2024-01,24,N,N,N,6,5,5600,2022
026420000000000,119,00000,S.H. 33,8.2 MI E JCT SH 18,35590818,096373142,1930,1979,0124,2024-01,24,N,N,N,7,6,8200,2022
032700000000000,119,02300,U.S. 177,4.8 MI S NOBLE C/L,36103967,097041077,1931,1974,0124,2024-01,24,N,N,N,6,6,7500,2022
032850000000000,119,00000,U.S. 177,1.2 MI S NOBLE C/L,36134825,097041144,1931,1988,0124,2024-01,24,N,N,N,8,7,6200,2022
038440000000000,119,00000,S.H. 99,0.5 MI N LINCOLN C/L,35565818,096393618,1933,0000,0124,2024-01,24,N,N,N,6,6,1800,2022
038810000000000,119,00000,S.H. 18,1.4 MI N JCT SH 51,36073917,096460867,1935,1949,0124,2024-01,24,N,N,N,6,6,1500,2022
049320000000000,119,02300,S.H. 51 (SIXTH ST),3.0 MI W JCT US 177,36065650,097061842,1936,1974,0124,2024-01,24,N,N,N,8,6,14200,2022
072080000000000,119,00000,S.H. 51,7.3 MI E LOGAN C/L,36060200,097134300,1939,0000,0124,2024-01,24,N,N,N,7,6,4850,2022
072110000000000,119,00000,S.H. 51,5.9 MI W JCT US 177,36065700,097092100,1939,0000,0124,2024-01,24,N,N,N,6,6,5600,2022
098270000000000,119,00000,S.H. 86,1.9 MI N JCT SH 51,36083547,097165803,1947,0000,0124,2024-01,24,7,5,6,7,N,1100,2022
116030000000000,119,00615,S.H. 18,1.0 MI N JCT SH 33,35595899,096460319,1950,0000,0124,2024-01,24,N,N,N,7,7,4000,2022
127120000000000,119,00000,S.H. 33,1.4 MI E JCT SH 108,35590871,096525111,1952,1988,0124,2024-01,24,N,N,N,7,7,4500,2022
140260000000000,119,00000,S.H. 33,5.3 MI E JCT SH 18,35590820,096402949,1958,1979,0124,2024-01,24,N,N,N,6,6,8000,2022
141730000000000,119,00000,S.H. 33 W.B.,5.1 MI E JCT SH 18,35590958,096404675,1958,2007,0124,2024-01,24,7,6,6,7,N,4150,2022
142870000000000,119,00000,S.H. 108,3.7 MI N JCT SH 51,36101044,096553267,1959,0000,0124,2024-01,12,N,N,N,6,7,1900,2022
143270000000000,119,00000,I-35,2.5 MI N OF JCT SH 51,36085953,097194704,1959,0000,0124,2024-01,24,N,N,N,7,6,15500,2022
143670000000000,119,00000,I-35 SB,4.0 MI S JCT SH 51,36032769,097204667,1959,2006,0124,2024-01,24,7,6,6,N,N,10150,2022
143680000000000,119,00000,I-35 N.B.,4.0 MI S JCT SH 51,36032765,097204620,1959,2006,0124,2024-01,24,7,7,6,N,N,10150,2022
143690000000000,119,00000,I-35 N.B.,3.0 MI S JCT SH 51,36041967,097204196,1959,2006,0124,2024-01,24,7,6,7,N,N,10150,2022
143700000000000,119,00000,I-35 SB,3 MI S OF SH 51 JCT,36041968,097204328,1959,2006,0124,2024-01,24,7,5,5,N,N,10100,2022
144210000000000,119,00000,CO. RD. E0690,1.9 MI N LOGAN C/L,36005162,097205359,1959,0000,0124,2024-01,24,6,6,7,N,N,50,2022
144240000000000,119,00000,CO. RD. E0680,6.0 MI S JCT SH 51,36014414,097204454,1959,0000,0124,2024-01,24,7,7,6,N,N,100,2022
144340000000000,119,00000,CO. RD. E0630,1.0 MI S OF JCT SH 51,36060423,097204360,1959,0000,0124,2024-01,24,6,6,6,N,N,50,2022
144390000000000,119,00000,CO. RD. E0600,1.1 MI S NOBLE C/L,36084139,097195979,1959,0000,0124,2024-01,24,6,6,6,N,N,50,2022
144410000000000,119,00000,CO. RD. E0590,NOBLE-PAYNE C/L,36093275,097193934,1959,0000,0124,2024-01,24,6,7,6,N,N,50,2022
144590000000000,119,00000,CO. RD. E0670,5.0 MI S JCT SH 51,36023588,097204386,1959,0000,0124,2024-01,24,6,6,7,N,N,50,2022
144670000000000,119,00000,I-35 NB,1.2 MI N LOGAN C/L,36001347,097205869,1959,1988,0124,2024-01,24,7,7,7,6,N,10150,2022
144680000000000,119,00000,I-35 SB,1.2 MI N LOGAN C/L,36001423,097205988,1959,1988,0124,2024-01,24,7,7,7,6,N,10150,2022
148720000000000,119,02300,S.H. 51,1.7 MI W JCT US 177,36065668,097050101,1960,0000,0124,2024-01,24,N,N,N,6,6,15800,2022
150650000000000,119,00000,I-35 N.B.,2.0 MI S  JCT  SH 51,36051180,097204193,1960,2006,0124,2024-01,24,7,6,7,N,N,10150,2022
150660000000000,119,00000,I-35 SB,2.0 MI S  JCT SH 51,36051180,097204324,1960,2006,0124,2024-01,24,7,6,7,N,N,10100,2022
167060000000000,119,02710,S.H. 51,3.6 MI E JCT SH 18,36065753,096420369,1967,0000,0124,2024-01,24,N,N,N,6,6,4400,2022
167080000000000,119,00000,S.H. 51,6.7 MI E JCT SH 18,36065956,096385382,1966,0000,0124,2024-01,24,N,N,N,7,7,3100,2022
168690000000000,119,00000,S.H. 108,4.5 MI N JCT SH 33,36031282,096543221,1967,0000,0124,2024-01,24,N,N,N,7,7,1600,2022
168840000000000,119,00000,S.H. 51,3.5 MI W JCT SH 18,36065562,096494020,1967,0000,0124,2024-01,24,N,N,N,5,6,3600,2022
169800000000000,119,00000,S.H. 51,5.8 MI W JCT SH 18,36065798,096520425,1967,0000,0124,2024-01,24,7,7,6,6,N,3600,2022
169810000000000,119,00000,S.H. 51,1.6 MI E JCT SH 18,36065143,096442083,1967,2017,0124,2024-01,24,8,8,7,6,N,3400,2022
173920000000000,119,00000,S.H. 33,3.9 MI W JCT SH 108,35590707,096583143,1969,0000,0124,2024-01,24,N,N,N,5,6,4200,2022
174350000000000,119,02300,U.S. 177,4.2 MI N-W JCT SH 51,36102631,097040502,1969,0000,0124,2024-01,24,N,N,N,7,7,7500,2022
175200000000000,119,00000,S.H. 33,1.5 MI E JCT US 177,35590760,097003087,1969,2009,0124,2024-01,24,7,7,7,7,N,4400,2022
186550000000000,119,00000,S.H. 51,6.8 MI W JCT US 177,36065600,097102300,1974,2013,0124,2024-01,24,N,N,N,7,6,11200,2022
186740000000000,119,00000,U.S. 177,2.3 MI N JCT SH 33,36010886,097030276,1974,2004,0124,2024-01,24,N,N,N,6,7,8800,2022
186800000000000,119,00000,S.H. 51,5.9 MI W JCT US 177,36065800,097092000,1974,0000,0124,2024-01,24,N,N,N,7,7,5700,2022
187740000000000,119,02300,S.H. 51 W.B.,2.9 MI W JCT US 177,36065800,097061000,1974,2007,0124,2024-01,24,7,5,6,7,N,7100,2022
188570000000000,119,00000,S.H. 51,7.3 MI E LOGAN C/L,36060300,097134300,1975,0000,0124,2024-01,24,N,N,N,8,7,4950,2022
190490000000000,119,00000,S.H. 51 WB,5.6 MI E LOGAN C/L,36063400,097152100,1975,0000,0124,2024-01,24,0,0,5,6,N,4950,2022
190630000000000,119,00000,S.H. 108,8.3 MI N SH51,36141449,096553287,1975,0000,0124,2024-01,24,5,5,5,N,N,1400,2022
192210000000000,119,00000,S.H. 51,2.1 MI E US 177,36065789,097004879,1976,0000,0124,2024-01,24,7,8,7,7,N,9200,2022
192340000000000,119,00000,S.H. 51,2.4 MI E JCT US 177,36065780,097002833,1976,0000,0124,2024-01,24,7,7,6,7,N,9200,2022
195430000000000,119,00000,S.H. 33,7.2 MI E JCT SH 18,35590742,096382861,1979,0000,0124,2024-01,24,N,N,N,7,7,8200,2022
198080000000000,119,00000,S.H. 33 E.B.,5.1 MI E JCT SH 18,35590858,096404680,1979,0000,0124,2024-01,24,7,5,5,7,N,4000,2022
202910000000000,119,02300,U.S. 177,0.3 MI S JCT SH 51,36064324,097030481,1982,0000,0124,2024-01,24,6,8,6,7,N,14700,2022
203200000000000,119,02300,U.S. 177,1.2 MI S JCT SH 51,36055603,097030457,1982,0000,0124,2024-01,24,6,5,5,6,N,11700,2022
220130000000000,119,00000,U.S. 177,0.8 MI S NOBLE C/L,36140567,097041147,1988,0000,0124,2024-01,24,7,8,5,6,N,6200,2022
220570000000000,119,00000,S.H. 18 / S.H. 33,3.3 MI N&E LINCOLN CL,35590905,096520247,1988,0000,0124,2024-01,24,7,8,8,7,N,5600,2022
221020000000000,119,00000,I-35 NB,0.2 MI N LOGAN C/L,35592689,097210700,1989,0000,0124,2024-01,24,7,5,6,8,N,10150,2022
221030000000000,119,00000,I-35 SB,0.2 MI N LOGAN C/L,35592643,097210842,1989,0000,0124,2024-01,24,7,5,5,8,N,10150,2022
260540000000000,119,00950,S.H. 108,8.2 MI N JCT SH 51,36140025,096553408,2001,0000,0124,2024-01,24,7,8,7,N,N,1500,2022
262220000000000,119,00000,S.H. 51,5.9E JCT U.S. 177,36065941,096564284,2000,0000,0124,2024-01,24,7,8,8,8,N,7500,2022
281820000000000,119,00000,I-35 NB,8.9N LOGAN C/L,36065534,097204185,2007,0000,0124,2024-01,24,7,7,7,N,N,10100,2022
281830000000000,119,00000,I-35 SB,8.9N LOGAN C/L,36065534,097204346,2007,0000,0124,2024-01,24,7,8,7,N,N,10100,2022
281840000000000,119,02300,S.H. 51,14.8E OF LOGAN C/L,36065681,097055700,2007,0000,0124,2024-01,24,7,9,8,8,N,14200,2022
288440000000000,119,02300,S.H. 51 E.B.,2.9 W.  JCT U.S. 177,36065700,097060800,2007,0000,0124,2024-01,24,7,9,8,8,N,1000,2022
293620000000000,119,00000,U.S. 177,2S OF S.H. 33,35571000,097015100,2013,0000,0124,2024-01,24,7,9,8,7,N,4000,2022
296400000000000,119,00000,S.H. 33,6.5 E LOGAN C/L,35590900,097072000,2011,0000,0124,2024-01,24,7,9,8,8,N,3900,2022
296410000000000,119,00000,S.H. 33,6.7 E LOGAN C/L,35590900,097071000,2011,0000,0124,2024-01,24,7,9,8,7,N,3900,2022
300330000000000,119,00000,S.H. 33,5.4 E JCT. U.S. 177,35590812,096561541,2015,0000,0124,2024-01,24,N,N,N,7,8,4200,2022
302440000000000,119,00000,S.H. 33,1.7 W OF JCT U.S. 177,35590800,097050000,2014,0000,0124,2024-01,24,N,N,N,8,8,4800,2022
302450000000000,119,00000,S.H. 33,.3 W OF JCT U.S. 177,35590700,097032700,2014,0000,0124,2024-01,24,N,N,N,8,8,4800,2022
302540000000000,119,00000,S.H. 18,.4 S PAWNEE C/L,36090867,096470340,2015,0000,0124,2024-01,24,7,8,7,8,N,950,2022
302550000000000,119,00000,S.H. 18,.3 S OF PAWNEE C/L,36091405,096470316,2015,0000,0124,2024-01,24,7,8,7,8,N,970,2022
309780000000000,119,00000,S.H.. 51 E.B.,5.6 E OF LOGAN CO.,36063400,097152300,2023,0000,0124,2024-01,24,9,9,8,8,N,4850,2022
315620000000000,119,02300,S.H. 51,75 FT W JCT U.S. 177,36065708,097030675,2017,0000,0124,2024-01,24,N,N,N,7,8,13600,2022
315630000000000,119,02300,S.H. 51,200 FT W JCT U.S. 177,36065704,097030804,2017,0000,0124,2024-01,24,N,N,N,7,8,13600,2022
