label,node_id,latitude,longitude,direction_degrees,manufacturer,surveillance_type,surveillance_zone
Northern Flock ALPR,13654690602,35.9911022,-96.7499171,152,Flock Safety,ALPR,traffic
Southern Flock ALPR,13651150001,35.9653174,-96.7493401,324,Flock Safety,ALPR,traffic
