triangle,k,state,n,wti_mean,hlx_mean,brent_mean,osb_mean,catch_pct,wti_rev_pct
T1,5,all_agree,1460,0.002350630647737518,0.0061083593329625705,0.0027681799941080844,0.0033002446190307255,0.0,0.4897260273972603
T1,5,hlx_isolated,747,0.0026583565272269467,0.004473120727947264,0.00243300017512398,0.0034261468061099714,0.4979919678714859,0.5073627844712182
T1,5,wti_isolated,95,-0.013574417190386186,-0.0008273977085498905,0.006108269449326008,0.00987687010635687,0.5263157894736842,0.5263157894736842
T1,5,brent_isolated,104,0.009229167052402442,0.017461684385052065,0.013120614264753241,0.013354706256412425,0.5384615384615384,0.4807692307692308
T1,20,all_agree,1451,0.011572109958457005,0.025347638257723668,0.012091262091700505,0.015602355238184786,0.0,0.48862853204686424
T1,20,hlx_isolated,742,0.009294685945532606,0.01790847244831047,0.009117204231161871,0.016379781794083892,0.5175202156334232,0.5067385444743935
T1,20,wti_isolated,95,0.0159496845301995,0.015022169876568726,-0.0012872943289175991,-0.001728712259336639,0.5263157894736842,0.5263157894736842
T1,20,brent_isolated,103,0.02441430408780198,0.04085427573252314,0.03279682842676428,0.02304973633691073,0.5242718446601942,0.46601941747572817
T2,5,all_agree,1373,0.0014372950558663123,0.007120140742964496,0.0021676848293548994,0.004316101049387173,0.0,0.4879825200291333
T2,5,hlx_isolated,297,-0.006545058784242561,0.0056044560560276485,0.0009723746191949711,0.001534345177800412,0.5218855218855218,0.4781144781144781
T2,5,osb_isolated,195,0.012706416464836492,0.00478984008696169,0.012444642690497127,0.0015127254074525226,0.4666666666666667,0.49743589743589745
T2,5,wti_isolated,552,0.005521078922418771,0.0030074581120931765,0.004320539986227517,0.005679827742581645,0.5271739130434783,0.5271739130434783
T2,20,all_agree,1364,0.011757832540907374,0.02834256568777359,0.012520220755351414,0.017805147408327154,0.0,0.4868035190615836
T2,20,hlx_isolated,294,0.013784451801889553,0.01696445304491071,0.006413037084682974,0.0047050878684066,0.5170068027210885,0.5
T2,20,osb_isolated,194,0.017972909074915465,0.01128180897328846,0.02070575072321908,0.0036060343995112988,0.4587628865979381,0.4948453608247423
T2,20,wti_isolated,550,0.009718804312635847,0.018855862424430967,0.009862572873284955,0.019998002154883704,0.5145454545454545,0.5145454545454545
