k,n,pearson,spearman
-5,465,-0.02825395023531216,-0.013165362431713502
-4,466,0.04657983288462548,0.04029957764402547
-3,467,-0.02214901303295319,0.0032272969295019747
-2,468,-0.04426316522192754,0.0036048397010451155
-1,469,-0.04820201251775538,0.01984538235830164
0,469,0.007635913074231096,-0.025911938360777098
1,468,-0.01666618569315089,-0.030749808297169244
2,467,-0.034458376343023844,-0.007827217916558622
3,466,-0.05547590567835278,0.005300311978090135
4,465,-0.03152074091489645,-0.022680698629763057
5,464,-0.026277195243993638,0.025231770552343366
