retrieved_date,station,station_address,product,price_usd_per_gallon,price_type,source_timestamp_visible,source_url
2026-09-08,Maverik #5097,"2001 E Main St, Cushing, OK 74023",Regular,3.799,Credit,no,https://locations.maverik.com/ok/cushing/2001-e-main-st
2026-09-08,Maverik #5097,"2001 E Main St, Cushing, OK 74023",Diesel,5.499,Credit,no,https://locations.maverik.com/ok/cushing/2001-e-main-st
