station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2016-07-01,6,3,1,24,0,3654
AVC040,2016-07-01,6,7,1,24,0,3634
AVC040,2016-07-02,7,3,1,24,0,2832
AVC040,2016-07-02,7,7,1,24,0,2781
AVC040,2016-07-03,1,3,1,24,0,2143
AVC040,2016-07-03,1,7,1,24,0,2287
AVC040,2016-07-04,2,3,1,24,0,2290
AVC040,2016-07-04,2,7,1,24,0,2459
AVC040,2016-07-05,3,3,1,24,0,3151
AVC040,2016-07-05,3,7,1,24,0,3376
AVC040,2016-07-06,4,3,1,24,0,3294
AVC040,2016-07-06,4,7,1,24,0,3364
AVC040,2016-07-07,5,3,1,24,0,3303
AVC040,2016-07-07,5,7,1,24,0,3426
AVC040,2016-07-08,6,3,1,24,0,3472
AVC040,2016-07-08,6,7,1,24,0,3413
AVC040,2016-07-09,7,3,1,24,0,2759
AVC040,2016-07-09,7,7,1,24,0,2894
AVC040,2016-07-10,1,3,1,24,0,2112
AVC040,2016-07-10,1,7,1,24,0,2271
AVC040,2016-07-11,2,3,1,24,0,3268
AVC040,2016-07-11,2,7,1,24,0,3525
AVC040,2016-07-12,3,3,1,24,0,3223
AVC040,2016-07-12,3,7,1,24,0,3242
AVC040,2016-07-13,4,3,1,24,0,3253
AVC040,2016-07-13,4,7,1,24,0,3350
AVC040,2016-07-14,5,3,1,24,0,3236
AVC040,2016-07-14,5,7,1,24,0,3241
AVC040,2016-07-15,6,3,1,24,0,3480
AVC040,2016-07-15,6,7,1,24,0,3383
AVC040,2016-07-16,7,3,1,24,0,2588
AVC040,2016-07-16,7,7,1,24,0,2649
AVC040,2016-07-17,1,3,1,24,0,2196
AVC040,2016-07-17,1,7,1,24,0,2329
AVC040,2016-07-18,2,3,1,24,0,3255
AVC040,2016-07-18,2,7,1,24,0,3480
AVC040,2016-07-19,3,3,1,24,0,3318
AVC040,2016-07-19,3,7,1,24,0,3428
AVC040,2016-07-20,4,3,1,24,0,3331
AVC040,2016-07-20,4,7,1,24,0,3514
AVC040,2016-07-21,5,3,1,24,0,3033
AVC040,2016-07-21,5,7,1,24,0,3036
