station_id,date,day_of_week,direction,lane,hours_present,hours_missing,day_total_veh
AVC040,2019-10-01,3,3,1,24,0,3576
AVC040,2019-10-01,3,7,1,24,0,3565
AVC040,2019-10-02,4,3,1,24,0,3548
AVC040,2019-10-02,4,7,1,24,0,3649
AVC040,2019-10-03,5,3,1,24,0,3575
AVC040,2019-10-03,5,7,1,24,0,3604
AVC040,2019-10-04,6,3,1,24,0,3933
AVC040,2019-10-04,6,7,1,24,0,3983
AVC040,2019-10-05,7,3,1,24,0,3108
AVC040,2019-10-05,7,7,1,24,0,3105
AVC040,2019-10-06,1,3,1,24,0,2350
AVC040,2019-10-06,1,7,1,24,0,2287
AVC040,2019-10-07,2,3,1,24,0,3472
AVC040,2019-10-07,2,7,1,24,0,3524
AVC040,2019-10-08,3,3,1,24,0,3595
AVC040,2019-10-08,3,7,1,24,0,3651
AVC040,2019-10-09,4,3,1,24,0,3436
AVC040,2019-10-09,4,7,1,24,0,3455
AVC040,2019-10-10,5,3,1,24,0,3456
AVC040,2019-10-10,5,7,1,24,0,3501
AVC040,2019-10-11,6,3,1,24,0,3817
AVC040,2019-10-11,6,7,1,24,0,3793
AVC040,2019-10-12,7,3,1,24,0,2959
AVC040,2019-10-12,7,7,1,24,0,2904
AVC040,2019-10-13,1,3,1,24,0,2276
AVC040,2019-10-13,1,7,1,24,0,2428
AVC040,2019-10-14,2,3,1,24,0,3417
AVC040,2019-10-14,2,7,1,24,0,3442
AVC040,2019-10-15,3,3,1,24,0,3544
AVC040,2019-10-15,3,7,1,24,0,3573
AVC040,2019-10-16,4,3,1,24,0,3545
AVC040,2019-10-16,4,7,1,24,0,3524
AVC040,2019-10-17,5,3,1,24,0,3577
AVC040,2019-10-17,5,7,1,24,0,3628
AVC040,2019-10-18,6,3,1,24,0,3922
AVC040,2019-10-18,6,7,1,24,0,3896
AVC040,2019-10-19,7,3,1,24,0,3226
AVC040,2019-10-19,7,7,1,24,0,3211
AVC040,2019-10-20,1,3,1,24,0,2406
AVC040,2019-10-20,1,7,1,24,0,2466
AVC040,2019-10-21,2,3,1,24,0,3379
AVC040,2019-10-21,2,7,1,24,0,3451
AVC040,2019-10-22,3,3,1,24,0,3680
AVC040,2019-10-22,3,7,1,24,0,3634
AVC040,2019-10-23,4,3,1,24,0,3633
AVC040,2019-10-23,4,7,1,24,0,3637
AVC040,2019-10-24,5,3,1,24,0,3269
AVC040,2019-10-24,5,7,1,24,0,3173
AVC040,2019-10-25,6,3,1,24,0,3373
AVC040,2019-10-25,6,7,1,24,0,3415
AVC040,2019-10-26,7,3,1,24,0,3220
AVC040,2019-10-26,7,7,1,24,0,3260
AVC040,2019-10-27,1,3,1,24,0,2349
AVC040,2019-10-27,1,7,1,24,0,2366
AVC040,2019-10-28,2,3,1,24,0,3390
AVC040,2019-10-28,2,7,1,24,0,3340
AVC040,2019-10-29,3,3,1,24,0,3263
AVC040,2019-10-29,3,7,1,24,0,3360
AVC040,2019-10-30,4,3,1,24,0,3110
AVC040,2019-10-30,4,7,1,24,0,3159
AVC040,2019-10-31,5,3,1,24,0,3555
AVC040,2019-10-31,5,7,1,24,0,3550
