lag_weeks,n,pearson_r,spearman_rho
-4,463,-0.24713345116209345,-0.19370659573134538
-3,464,-0.23931882999733003,-0.21056260893965828
-2,465,-0.21802489734481537,-0.19034435276937015
-1,466,-0.18284611514192797,-0.16657353845213435
0,467,-0.16231808853007312,-0.11996395066580985
1,466,-0.12282089931451738,-0.11151623271161254
2,465,-0.07745896524115332,-0.10390196193795272
3,464,-0.038680797491794025,-0.09124419142812493
4,463,-0.018969871959655358,-0.07373460351465243
