lag_months,n,pearson_r,spearman_rho
-3,103,-0.22229644955686687,-0.14236194200895974
-2,104,-0.10204054446779096,-0.11234210138108497
-1,105,-0.062008443573598436,-0.027465213226773633
0,106,-0.03940910094935644,0.014504874423759981
1,105,-0.019907947415347366,-0.030060132083635675
2,104,-0.0939977049060539,-0.1453280193706689
3,103,-0.16857146566936987,-0.21553411187570745
