date,kbbl
2006-07-07,25003
2006-07-14,24529
2006-07-21,25361
2006-07-28,25591
2006-08-04,24796
2006-08-11,25069
2006-08-18,24527
2006-08-25,24321
2006-09-01,25076
2006-09-08,23550
2006-09-15,22258
2006-09-22,22264
2006-09-29,22564
2006-10-06,22746
2006-10-13,22277
2006-10-20,21989
2006-10-27,23226
2006-11-03,23557
2006-11-10,23742
2006-11-17,24859
2006-11-24,24248
2006-12-01,26792
2006-12-08,26562
2006-12-15,25913
2006-12-22,25073
2006-12-29,26057
2007-01-05,25461
2007-01-12,24295
2007-01-19,23758
2007-01-26,22482
2007-02-02,21500
2007-02-09,21234
2007-02-16,22999
2007-02-23,22065
2007-03-02,21728
2007-03-09,22311
2007-03-16,24071
2007-03-23,23859
2007-03-30,26739
2007-04-06,26986
2007-04-13,28015
2007-04-20,26838
2007-04-27,27114
2007-05-04,27722
2007-05-11,26458
2007-05-18,27357
2007-05-25,26727
2007-06-01,26157
2007-06-08,26026
2007-06-15,25542
2007-06-22,24085
2007-06-29,23695
2007-07-06,22813
2007-07-13,22621
2007-07-20,21239
2007-07-27,20747
2007-08-03,19268
2007-08-10,18436
2007-08-17,18702
2007-08-24,18677
2007-08-31,20531
2007-09-07,20017
2007-09-14,18337
2007-09-21,18128
2007-09-28,18393
2007-10-05,18592
2007-10-12,18417
2007-10-19,18160
2007-10-26,15050
2007-11-02,13410
2007-11-09,13421
2007-11-16,14564
2007-11-23,15229
2007-11-30,15900
2007-12-07,17315
2007-12-14,17430
2007-12-21,17496
2007-12-28,17501
2008-01-04,17735
2008-01-11,16521
2008-01-18,15653
2008-01-25,15755
2008-02-01,16455
2008-02-08,17156
2008-02-15,16678
2008-02-22,16918
2008-02-29,16094
2008-03-07,18877
2008-03-14,17481
2008-03-21,17192
2008-03-28,17456
2008-04-04,17523
2008-04-11,18383
2008-04-18,19149
2008-04-25,19297
2008-05-02,20212
2008-05-09,20412
2008-05-16,20587
2008-05-23,21333
2008-05-30,21777
2008-06-06,21251
2008-06-13,20638
2008-06-20,20697
2008-06-27,20870
2008-07-04,20425
2008-07-11,19885
2008-07-18,19521
2008-07-25,18800
2008-08-01,18707
2008-08-08,18468
2008-08-15,18006
2008-08-22,17289
2008-08-29,18094
2008-09-05,17653
2008-09-12,16054
2008-09-19,15253
2008-09-26,14495
2008-10-03,14383
2008-10-10,14926
2008-10-17,15388
2008-10-24,15729
2008-10-31,17544
2008-11-07,17985
2008-11-14,18921
2008-11-21,20509
2008-11-28,22854
2008-12-05,22774
2008-12-12,27511
2008-12-19,28684
2008-12-26,28143
2009-01-02,32182
2009-01-09,32980
2009-01-16,33197
2009-01-23,33503
2009-01-30,34335
2009-02-06,34916
2009-02-13,34864
2009-02-20,34506
2009-02-27,33953
2009-03-06,33552
2009-03-13,33920
2009-03-20,31709
2009-03-27,30853
2009-04-03,29975
2009-04-10,29233
2009-04-17,29542
2009-04-24,29763
2009-05-01,29819
2009-05-08,28826
2009-05-15,29620
2009-05-22,30684
2009-05-29,29918
2009-06-05,28976
2009-06-12,28971
2009-06-19,28238
2009-06-26,28601
2009-07-03,30184
2009-07-10,30803
2009-07-17,30811
2009-07-24,32121
2009-07-31,33325
2009-08-07,33606
2009-08-14,33264
2009-08-21,31801
2009-08-28,31212
2009-09-04,31269
2009-09-11,27591
2009-09-18,28072
2009-09-25,26530
2009-10-02,25124
2009-10-09,25541
2009-10-16,26004
2009-10-23,25519
2009-10-30,25549
2009-11-06,26969
2009-11-13,28319
2009-11-20,29515
2009-11-27,30889
2009-12-04,33353
2009-12-11,34135
2009-12-18,34706
2009-12-25,34512
2010-01-01,35670
2010-01-08,34473
2010-01-15,33725
2010-01-22,33034
2010-01-29,31997
2010-02-05,31322
2010-02-12,30612
2010-02-19,29902
2010-02-26,29969
2010-03-05,30600
2010-03-12,29919
2010-03-19,30453
2010-03-26,30936
2010-04-02,31164
2010-04-09,32257
2010-04-16,34111
2010-04-23,34565
2010-04-30,36244
2010-05-07,37028
2010-05-14,37945
2010-05-21,37621
2010-05-28,37889
2010-06-04,37416
2010-06-11,37610
2010-06-18,36784
2010-06-25,35989
2010-07-02,35805
2010-07-09,36119
2010-07-16,37104
2010-07-23,37170
2010-07-30,37836
2010-08-06,37722
2010-08-13,37035
2010-08-20,36256
2010-08-27,35753
2010-09-03,35535
2010-09-10,34954
2010-09-17,34744
2010-09-24,34345
2010-10-01,35094
2010-10-08,35061
2010-10-15,34010
2010-10-22,33659
2010-10-29,33545
2010-11-05,31799
2010-11-12,33065
2010-11-19,33625
2010-11-26,34535
2010-12-03,34929
2010-12-10,35911
2010-12-17,36390
2010-12-24,36635
2010-12-31,37493
2011-01-07,37376
2011-01-14,36805
2011-01-21,37667
2011-01-28,38334
2011-02-04,37407
2011-02-11,37657
2011-02-18,37440
2011-02-25,38570
2011-03-04,40263
2011-03-11,40020
2011-03-18,40197
2011-03-25,41886
2011-04-01,41870
2011-04-08,41896
2011-04-15,41126
2011-04-22,40388
2011-04-29,40490
2011-05-06,41614
2011-05-13,40023
2011-05-20,40079
2011-05-27,39920
2011-06-03,38904
2011-06-10,37763
2011-06-17,38036
2011-06-24,37494
2011-07-01,37034
2011-07-08,37649
2011-07-15,36672
2011-07-22,37102
2011-07-29,35953
2011-08-05,34581
2011-08-12,33688
2011-08-19,33662
2011-08-26,33085
2011-09-02,32689
2011-09-09,32229
2011-09-16,31998
2011-09-23,30920
2011-09-30,30089
2011-10-07,30621
2011-10-14,31092
2011-10-21,31511
2011-10-28,32071
2011-11-04,31139
2011-11-11,32029
2011-11-18,32016
2011-11-25,31301
2011-12-02,31105
2011-12-09,31188
2011-12-16,30198
2011-12-23,29909
2011-12-30,29296
2012-01-06,29105
2012-01-13,28273
2012-01-20,28647
2012-01-27,30123
2012-02-03,30490
2012-02-10,32480
2012-02-17,32165
2012-02-24,33813
2012-03-02,36178
2012-03-09,38697
2012-03-16,38521
2012-03-23,39564
2012-03-30,40293
2012-04-06,40585
2012-04-13,41177
2012-04-20,41751
2012-04-27,42964
2012-05-04,44127
2012-05-11,45127
2012-05-18,46795
2012-05-25,46849
2012-06-01,47775
2012-06-08,47395
2012-06-15,47755
2012-06-22,47416
2012-06-29,47641
2012-07-06,46782
2012-07-13,46282
2012-07-20,46485
2012-07-27,45100
2012-08-03,44298
2012-08-10,45197
2012-08-17,45242
2012-08-24,44821
2012-08-31,44915
2012-09-07,44087
2012-09-14,43813
2012-09-21,43730
2012-09-28,43865
2012-10-05,44165
2012-10-12,44025
2012-10-19,44065
2012-10-26,43394
2012-11-02,42966
2012-11-09,43681
2012-11-16,45150
2012-11-23,45857
2012-11-30,45631
2012-12-07,46818
2012-12-14,46963
2012-12-21,49177
2012-12-28,49750
2013-01-04,50082
2013-01-11,51862
2013-01-18,51391
2013-01-25,51675
2013-02-01,51360
2013-02-08,50242
2013-02-15,50659
2013-02-22,50584
2013-03-01,50841
2013-03-08,49315
2013-03-15,49029
2013-03-22,49468
2013-03-29,49181
2013-04-05,50070
2013-04-12,51148
2013-04-19,51183
2013-04-26,49801
2013-05-03,49149
2013-05-10,49724
2013-05-17,50173
2013-05-24,50508
2013-05-31,50024
2013-06-07,49265
2013-06-14,48596
2013-06-21,49260
2013-06-28,49652
2013-07-05,46965
2013-07-12,46083
2013-07-19,44023
2013-07-26,42119
2013-08-02,39874
2013-08-09,38515
2013-08-16,37425
2013-08-23,36588
2013-08-30,34759
2013-09-06,34120
2013-09-13,33259
2013-09-20,32847
2013-09-27,32788
2013-10-04,32620
2013-10-11,32986
2013-10-18,33344
2013-10-25,35522
2013-11-01,36513
2013-11-08,38204
2013-11-15,39940
2013-11-22,40616
2013-11-29,40598
2013-12-06,41223
2013-12-13,40623
2013-12-20,40177
2013-12-27,39625
2014-01-03,40725
2014-01-10,40870
2014-01-17,41592
2014-01-24,41829
2014-01-31,40276
2014-02-07,37603
2014-02-14,35870
2014-02-21,34792
2014-02-28,32132
2014-03-07,30791
2014-03-14,29802
2014-03-21,28477
2014-03-28,27254
2014-04-04,27599
2014-04-11,26828
2014-04-18,26040
2014-04-25,25428
2014-05-02,24033
2014-05-09,23441
2014-05-16,23216
2014-05-23,21691
2014-05-30,21370
2014-06-06,21172
2014-06-13,21419
2014-06-20,21835
2014-06-27,20476
2014-07-04,20923
2014-07-11,20273
2014-07-18,18823
2014-07-25,17899
2014-08-01,17982
2014-08-08,18400
2014-08-15,20155
2014-08-22,20663
2014-08-29,20278
2014-09-05,20356
2014-09-12,19999
2014-09-19,20190
2014-09-26,20505
2014-10-03,18929
2014-10-10,19645
2014-10-17,20598
2014-10-24,21374
2014-10-31,20823
2014-11-07,22527
2014-11-14,23245
2014-11-21,24579
2014-11-28,23885
2014-12-05,24905
2014-12-12,27825
2014-12-19,28798
2014-12-26,30793
2015-01-02,32098
2015-01-09,33874
2015-01-16,36783
2015-01-23,38868
2015-01-30,41384
2015-02-06,42598
2015-02-13,46261
2015-02-20,48680
2015-02-27,49216
2015-03-06,51538
2015-03-13,54403
2015-03-20,56314
2015-03-27,58943
2015-04-03,60175
2015-04-10,61462
2015-04-17,62200
2015-04-24,61686
2015-05-01,61674
2015-05-08,60684
2015-05-15,60443
2015-05-22,60010
2015-05-29,59027
2015-06-05,58003
2015-06-12,58115
2015-06-19,56245
2015-06-26,56368
2015-07-03,56667
2015-07-10,57105
2015-07-17,57918
2015-07-24,57706
2015-07-31,57164
2015-08-07,57113
2015-08-14,57439
2015-08-21,57695
2015-08-28,57307
2015-09-04,56410
2015-09-11,54504
2015-09-18,54042
2015-09-25,52974
2015-10-02,53072
2015-10-09,54197
2015-10-16,54119
2015-10-23,53334
2015-10-30,53122
2015-11-06,55359
2015-11-13,56854
2015-11-20,58598
2015-11-27,59026
2015-12-04,59449
2015-12-11,60056
2015-12-18,62101
2015-12-25,62993
2016-01-01,63910
2016-01-08,64007
2016-01-15,64198
2016-01-22,63427
2016-01-29,64174
2016-02-05,64697
2016-02-12,64733
2016-02-19,65066
2016-02-26,66256
2016-03-04,66946
2016-03-11,67491
2016-03-18,66233
2016-03-25,65961
2016-04-01,66318
2016-04-08,64551
2016-04-15,64303
2016-04-22,66049
2016-04-29,66292
2016-05-06,67812
2016-05-13,68273
2016-05-20,67624
2016-05-27,66920
2016-06-03,65557
2016-06-10,66461
2016-06-17,65181
2016-06-24,64230
2016-07-01,64148
2016-07-08,63916
2016-07-15,64105
2016-07-22,65215
2016-07-29,64092
2016-08-05,65255
2016-08-12,64531
2016-08-19,64906
2016-08-26,63867
2016-09-02,63433
2016-09-09,62188
2016-09-16,62714
2016-09-23,62083
2016-09-30,62652
2016-10-07,61334
2016-10-14,59699
2016-10-21,58362
2016-10-28,58451
2016-11-04,58479
2016-11-11,59170
2016-11-18,59083
2016-11-25,61502
2016-12-02,65285
2016-12-09,66508
2016-12-16,66263
2016-12-23,66435
2016-12-30,67509
2017-01-06,66930
2017-01-13,65656
2017-01-20,65372
2017-01-27,64127
2017-02-03,65270
2017-02-10,64568
2017-02-17,63040
2017-02-24,63535
2017-03-03,64402
2017-03-10,66532
2017-03-17,67951
2017-03-24,67731
2017-03-31,69144
2017-04-07,69420
2017-04-14,68642
2017-04-21,67439
2017-04-28,66711
2017-05-05,66273
2017-05-12,66308
2017-05-19,65567
2017-05-26,64820
2017-06-02,63376
2017-06-09,62220
2017-06-16,61140
2017-06-23,60843
2017-06-30,59509
2017-07-07,57561
2017-07-14,57538
2017-07-21,55839
2017-07-28,55800
2017-08-04,56369
2017-08-11,57047
2017-08-18,56544
2017-08-25,57233
2017-09-01,58030
2017-09-08,59053
2017-09-15,59756
2017-09-22,60937
2017-09-29,62462
2017-10-06,63784
2017-10-13,63986
2017-10-20,63749
2017-10-27,63839
2017-11-03,64559
2017-11-10,63055
2017-11-17,61228
2017-11-24,58314
2017-12-01,55561
2017-12-08,52244
2017-12-15,52998
2017-12-22,51414
2017-12-29,48973
2018-01-05,46578
2018-01-12,42394
2018-01-19,39244
2018-01-26,37020
2018-02-02,36309
2018-02-09,32667
2018-02-16,30003
2018-02-23,28785
2018-03-02,28180
2018-03-09,28518
2018-03-16,29423
2018-03-23,31227
2018-03-30,34893
2018-04-06,36022
2018-04-13,34907
2018-04-20,35366
2018-04-27,35782
2018-05-04,37170
2018-05-11,37223
2018-05-18,36100
2018-05-25,35544
2018-06-01,34589
2018-06-08,33902
2018-06-15,32606
2018-06-22,29893
2018-06-29,27780
2018-07-06,25718
2018-07-13,24858
2018-07-20,23731
2018-07-27,22393
2018-08-03,21803
2018-08-10,23446
2018-08-17,24218
2018-08-24,24276
2018-08-31,24825
2018-09-07,23583
2018-09-14,22333
2018-09-21,22794
2018-09-28,24493
2018-10-05,26852
2018-10-12,28628
2018-10-19,29999
2018-10-26,31877
2018-11-02,34296
2018-11-09,35463
2018-11-16,35347
2018-11-23,36524
2018-11-30,38253
2018-12-07,39401
2018-12-14,40492
2018-12-21,41291
2018-12-28,41932
2019-01-04,42262
2019-01-11,41519
2019-01-18,41329
2019-01-25,41184
2019-02-01,42625
2019-02-08,41609
2019-02-15,45022
2019-02-22,46650
2019-03-01,47523
2019-03-08,46851
2019-03-15,46383
2019-03-22,46924
2019-03-29,47125
2019-04-05,45992
2019-04-12,44449
2019-04-19,44912
2019-04-26,45177
2019-05-03,45998
2019-05-10,47803
2019-05-17,49069
2019-05-24,49053
2019-05-31,50844
2019-06-07,52940
2019-06-14,53582
2019-06-21,51836
2019-06-28,52488
2019-07-05,52178
2019-07-12,50827
2019-07-19,50398
2019-07-26,48865
2019-08-02,47361
2019-08-09,44821
2019-08-16,42336
2019-08-23,40356
2019-08-30,40126
2019-09-06,39328
2019-09-13,38681
2019-09-20,40937
2019-09-27,40736
2019-10-04,41677
2019-10-11,42953
2019-10-18,44459
2019-10-25,46031
2019-11-01,47745
2019-11-08,46516
2019-11-15,44221
2019-11-22,44124
2019-11-29,43822
2019-12-06,40429
2019-12-13,40164
2019-12-20,37771
2019-12-27,36322
2020-01-03,35501
2020-01-10,35843
2020-01-17,34882
2020-01-24,35640
2020-01-31,36708
2020-02-07,38376
2020-02-14,38243
2020-02-21,39149
2020-02-28,37178
2020-03-06,37882
2020-03-13,38445
2020-03-20,39303
2020-03-27,42824
2020-04-03,49241
2020-04-10,54965
2020-04-17,59741
2020-04-24,63378
2020-05-01,65446
2020-05-08,62444
2020-05-15,56857
2020-05-22,53462
2020-05-29,51723
2020-06-05,49444
2020-06-12,46836
2020-06-19,45845
2020-06-26,45582
2020-07-03,47788
2020-07-10,48737
2020-07-17,50112
2020-07-24,51421
2020-07-31,51953
2020-08-07,53289
2020-08-14,52682
2020-08-21,52403
2020-08-28,52513
2020-09-04,54351
2020-09-11,54277
2020-09-18,54281
2020-09-25,56066
2020-10-02,56536
2020-10-09,59442
2020-10-16,60417
2020-10-23,59995
2020-10-30,60931
2020-11-06,60413
2020-11-13,61613
2020-11-20,59892
2020-11-27,59575
2020-12-04,58211
2020-12-11,58409
2020-12-18,58383
2020-12-25,58410
2021-01-01,59202
2021-01-08,57227
2021-01-15,52500
2021-01-22,50219
2021-01-29,48702
2021-02-05,48044
2021-02-12,45016
2021-02-19,47823
2021-02-26,48308
2021-03-05,48834
2021-03-12,48210
2021-03-19,46275
2021-03-26,47057
2021-04-02,46322
2021-04-09,46668
2021-04-16,45350
2021-04-23,46072
2021-04-30,46326
2021-05-07,45905
2021-05-14,45763
2021-05-21,44755
2021-05-28,45539
2021-06-04,45704
2021-06-11,43554
2021-06-18,41721
2021-06-25,40261
2021-07-02,39647
2021-07-09,38058
2021-07-16,36711
2021-07-23,35443
2021-07-30,34900
2021-08-06,34575
2021-08-13,33595
2021-08-20,33665
2021-08-27,34501
2021-09-03,36419
2021-09-10,35316
2021-09-17,33840
2021-09-24,33971
2021-10-01,35519
2021-10-08,33551
2021-10-15,31231
2021-10-22,27332
2021-10-29,26416
2021-11-05,26382
2021-11-12,26598
2021-11-19,27385
2021-11-26,28544
2021-12-03,30917
2021-12-10,32211
2021-12-17,33674
2021-12-24,34729
2021-12-31,37306
2022-01-07,34838
2022-01-14,33524
2022-01-21,31701
2022-01-28,30528
2022-02-04,27727
2022-02-11,25827
2022-02-18,23778
2022-02-25,22806
2022-03-04,22221
2022-03-11,24007
2022-03-18,25242
2022-03-25,24233
2022-04-01,25887
2022-04-08,26337
2022-04-15,26152
2022-04-22,27450
2022-04-29,28829
2022-05-06,28242
2022-05-13,25839
2022-05-20,24778
2022-05-27,25034
2022-06-03,23441
2022-06-10,22615
2022-06-17,22043
2022-06-24,21261
2022-07-01,21330
2022-07-08,21646
2022-07-15,22789
2022-07-22,23540
2022-07-29,24466
2022-08-05,25189
2022-08-12,25381
2022-08-19,25807
2022-08-26,25284
2022-09-02,24783
2022-09-09,24648
2022-09-16,24991
2022-09-23,25683
2022-09-30,25956
2022-10-07,25647
2022-10-14,26230
2022-10-21,26897
2022-10-28,28164
2022-11-04,27241
2022-11-11,25617
2022-11-18,24730
2022-11-25,24315
2022-12-02,23942
2022-12-09,24368
2022-12-16,25221
2022-12-23,25026
2022-12-30,25270
2023-01-06,27781
2023-01-13,31427
2023-01-20,35694
2023-01-27,38009
2023-02-03,39052
2023-02-10,39711
2023-02-17,40411
2023-02-24,40718
2023-03-03,39828
2023-03-10,37912
2023-03-17,36849
2023-03-24,35217
2023-03-31,34247
2023-04-07,33838
2023-04-14,32750
2023-04-21,33069
2023-04-28,33610
2023-05-05,34007
2023-05-12,35468
2023-05-19,37230
2023-05-26,38858
2023-06-02,40579
2023-06-09,42133
2023-06-16,42035
2023-06-23,43244
2023-06-30,42844
2023-07-07,41239
2023-07-14,38348
2023-07-21,35739
2023-07-28,34480
2023-08-04,34639
2023-08-11,33802
2023-08-18,30669
2023-08-25,29165
2023-09-01,27415
2023-09-08,24965
2023-09-15,22901
2023-09-22,21958
2023-09-29,22090
2023-10-06,21771
2023-10-13,21013
2023-10-20,21226
2023-10-27,21498
2023-11-03,23085
2023-11-10,25010
2023-11-17,25868
2023-11-24,27722
2023-12-01,29551
2023-12-08,30779
2023-12-15,32465
2023-12-22,33973
2023-12-29,34679
2024-01-05,34173
2024-01-12,32074
2024-01-19,30066
2024-01-26,28094
2024-02-02,28061
2024-02-09,28771
2024-02-16,29512
2024-02-23,30970
2024-03-01,31671
2024-03-08,31451
2024-03-15,31433
2024-03-22,33540
2024-03-29,33163
2024-04-05,32993
2024-04-12,33026
2024-04-19,32367
2024-04-26,33456
2024-05-03,35336
2024-05-10,34995
2024-05-17,36320
2024-05-24,34554
2024-05-31,35408
2024-06-07,33815
2024-06-14,34122
2024-06-21,33896
2024-06-28,34241
2024-07-05,33539
2024-07-12,32664
2024-07-19,30956
2024-07-26,29850
2024-08-02,30429
2024-08-09,28764
2024-08-16,28204
2024-08-23,27536
2024-08-30,26394
2024-09-06,24690
2024-09-13,22711
2024-09-20,22827
2024-09-27,23667
2024-10-04,24914
2024-10-11,25022
2024-10-18,24676
2024-10-25,25357
2024-11-01,25879
2024-11-08,25191
2024-11-15,25051
2024-11-22,24142
2024-11-29,24192
2024-12-06,22894
2024-12-13,23002
2024-12-20,22682
2024-12-27,22540
2025-01-03,20038
2025-01-10,20803
2025-01-17,20655
2025-01-24,20981
2025-01-31,20947
2025-02-07,21819
2025-02-14,23291
2025-02-21,24573
2025-02-28,25697
2025-03-07,24469
2025-03-14,23460
2025-03-21,22705
2025-03-28,25078
2025-04-04,25759
2025-04-11,25105
2025-04-18,25019
2025-04-25,25701
2025-05-02,24961
2025-05-09,23892
2025-05-16,23435
2025-05-23,23510
2025-05-30,24086
2025-06-06,23683
2025-06-13,22688
2025-06-20,22224
2025-06-27,20731
2025-07-04,21195
2025-07-11,21408
2025-07-18,21863
2025-07-25,22553
2025-08-01,23006
2025-08-08,23051
2025-08-15,23470
2025-08-22,22632
2025-08-29,24222
2025-09-05,23857
2025-09-12,23561
2025-09-19,23738
2025-09-26,23467
2025-10-03,22704
2025-10-10,22001
2025-10-17,21231
2025-10-24,22565
2025-10-31,22865
2025-11-07,22519
2025-11-14,21821
2025-11-21,21753
2025-11-28,21296
2025-12-05,21604
2025-12-12,20862
2025-12-19,21569
2025-12-26,22112
2026-01-02,22840
2026-01-09,23585
2026-01-16,25063
2026-01-23,24785
2026-01-30,24042
2026-02-06,25113
2026-02-13,24018
2026-02-20,24899
2026-02-27,26463
2026-03-06,26580
2026-03-13,27524
2026-03-20,30945
2026-03-27,31465
2026-04-03,31489
2026-04-10,29762
2026-04-17,30568
2026-04-24,29772
2026-05-01,29124
2026-05-08,27422
2026-05-15,25818
2026-05-22,23024
2026-05-29,22441
2026-06-05,21640
2026-06-12,20034
2026-06-19,18957
2026-06-26,19666
2026-07-03,19614
2026-07-10,20044
2026-07-17,19370
2026-07-24,18599
2026-07-31,20955
2026-08-07,22566
2026-08-14,21252
2026-08-21,22428
2026-08-28,22508
2026-09-04,21824
