month,usd_gal,fuel_50l,hourly_wage,fwh,umcsent
2017-01,2.3489999999999998,31.027022171970806,26.0,1.1933470066142617,98.5
2017-02,2.3040000000000003,30.43263477404033,26.07,1.1673431060237949,96.3
2017-03,2.325,30.71001555974122,26.11,1.1761783056201156,96.9
2017-04,2.41725,31.928509725498692,26.18,1.2195763837088882,97.0
2017-05,2.3914,31.587067186909742,26.21,1.2051532692449347,97.1
2017-06,2.3465,30.994000649863555,26.26,1.1802742060115594,95.0
2017-07,2.2998,30.377158616900147,26.35,1.1528333440948821,93.4
2017-08,2.38025,31.439791198311408,26.37,1.1922560181384683,96.8
2017-09,2.64525,34.94007254167976,26.49,1.3189910359260009,95.1
2017-10,2.505,33.08756515146312,26.5,1.2485873642061553,100.7
2017-11,2.5635,33.860268768772734,26.54,1.2758202248972395,98.5
2017-12,2.47675,32.71442195165121,26.63,1.2284799831637707,95.9
2018-01,2.5545999999999998,33.74271215007093,26.72,1.2628260535206186,95.7
2018-02,2.58725,34.173973228791596,26.74,1.278009470037083,99.7
2018-03,2.59125,34.226807664163196,26.85,1.274741440006078,101.4
2018-04,2.757,36.41613457987378,26.91,1.3532565804486725,98.8
2018-05,2.9007500000000004,38.31487210104058,26.98,1.42012127876355,98.0
2018-06,2.89075,38.18278601261158,27.03,1.4126076956201101,98.2
2018-07,2.8486000000000002,37.626043149883365,27.1,1.38841487637946,97.9
2018-08,2.83575,37.456312526252105,27.21,1.3765642236770343,96.2
2018-09,2.8355,37.453010374041384,27.32,1.3709008189619833,100.1
2018-10,2.8600000000000003,37.77662129069242,27.37,1.3802199960062995,98.6
2018-11,2.64725,34.966489759365565,27.44,1.2742889853996198,97.5
2018-12,2.3655999999999997,31.246285078762934,27.56,1.1337549012613548,98.3
2019-01,2.24775,29.689650526627233,27.59,1.0761018675834444,91.2
2019-02,2.30925,30.50197997046555,27.69,1.1015521838376867,93.8
2019-03,2.516,33.23285984873501,27.77,1.1967180356044296,98.4
2019-04,2.7984,36.96297098596982,27.79,1.3300817195383166,97.2
2019-05,2.85925,37.766714834060245,27.88,1.354616744406752,100.0
2019-06,2.71575,35.87127946510417,27.97,1.2824912214910325,98.2
2019-07,2.7399999999999998,36.191588229544486,28.03,1.2911733224953437,98.4
2019-08,2.621,34.619763777239456,28.14,1.2302687909466756,89.8
2019-09,2.5922,34.23935584256395,28.16,1.2158862160001405,93.2
