k,n,pearson,spearman
-5,255,-0.0055854382043836834,0.04699922491842466
-4,256,-0.030128134232786874,-0.05444891494196204
-3,257,-0.035888620518751184,-0.05075192195233437
-2,258,0.09344671059836851,0.10819686463292892
-1,259,-0.018031087941984127,-0.056623062001169774
0,259,0.08647589843945189,0.14618106645518553
1,258,-0.05295029256416322,-0.0748175141902041
2,257,0.09097924625991446,-0.026093903440872885
3,256,-0.07450844189321632,-0.08744763106066658
4,255,0.0760021758102088,0.06423610773292819
5,254,-0.08472584454031867,-0.04916095712438226
