k,n,pearson,spearman
-5,2131,-0.01640812684014653,0.009767977654748784
-4,2132,0.04272366922073052,-0.028889510924452404
-3,2133,0.09835475960133114,0.00042962899444846215
-2,2134,-0.19784083101646144,-0.04457293710462783
-1,2135,-0.27370105295190045,0.013000935558904839
0,2135,0.20075656659664579,-0.016102082203451988
1,2134,0.1711667334696656,0.005494327091873337
2,2133,-0.030386585403218223,-0.0035001359386423844
3,2132,-0.20364185747806454,-0.0315345796349284
4,2131,-0.0991146000888996,0.007136598666630043
5,2130,0.07335198681287856,-0.027940807995830742
