date,direction,day_total_veh,hours_present,hours_missing
2015-03-29,7,2272,24,0
2015-03-30,3,3268,24,0
2015-03-30,7,3342,24,0
2015-03-31,3,3359,24,0
2015-03-31,7,3356,24,0
2015-04-01,3,3393,24,0
2015-04-01,7,3351,24,0
2015-04-02,3,3607,24,0
2015-04-02,7,3536,24,0
2015-04-03,3,3588,24,0
2015-04-03,7,3545,24,0
2015-04-04,3,2771,24,0
2015-04-04,7,2765,24,0
2015-04-05,3,2196,24,0
2015-04-05,7,2321,24,0
2015-04-06,3,3193,24,0
2015-04-06,7,3260,24,0
2015-04-07,3,3439,24,0
2015-04-07,7,3491,24,0
2015-04-08,3,3253,24,0
2015-04-08,7,3284,24,0
2015-04-09,3,3273,24,0
2015-04-09,7,3305,24,0
2015-04-10,3,3723,24,0
2015-04-10,7,3699,24,0
2015-04-11,3,2916,24,0
2015-04-11,7,2947,24,0
2015-04-12,3,2167,24,0
2015-04-12,7,2274,24,0
2015-04-13,3,2847,24,0
2015-04-13,7,2882,24,0
2015-04-14,3,3092,24,0
2015-04-14,7,3089,24,0
2015-04-15,3,3324,24,0
2015-04-15,7,3277,24,0
2015-04-16,3,3506,24,0
2015-04-16,7,3485,24,0
2015-04-17,3,3548,24,0
2015-04-17,7,3537,24,0
2015-04-18,3,2688,24,0
2015-04-18,7,2686,24,0
2015-04-19,3,2066,24,0
2015-04-19,7,2049,24,0
2015-04-20,3,3139,24,0
2015-04-20,7,3181,24,0
2015-04-21,3,3318,24,0
2015-04-21,7,3334,24,0
2015-04-22,3,3108,24,0
2015-04-22,7,3153,24,0
2015-04-23,3,3379,24,0
2015-04-23,7,3376,24,0
2015-04-24,3,3523,24,0
2015-04-24,7,3440,24,0
2015-04-25,3,3010,24,0
2015-04-25,7,3032,24,0
2015-04-26,3,2244,24,0
2015-04-26,7,2257,24,0
2015-04-27,3,2864,24,0
2015-04-27,7,2938,24,0
2015-04-28,3,3033,24,0
2015-04-28,7,3031,24,0
2015-04-29,3,3258,24,0
2015-04-29,7,3259,24,0
2015-04-30,3,3466,24,0
2015-04-30,7,3537,24,0
2015-05-01,3,3858,24,0
2015-05-01,7,3766,24,0
2015-05-02,3,3053,24,0
2015-05-02,7,3018,24,0
2015-05-03,3,2269,24,0
2015-05-03,7,2347,24,0
2015-05-04,3,3282,24,0
2015-05-04,7,3284,24,0
2015-05-05,3,3257,24,0
2015-05-05,7,3259,24,0
2015-05-06,3,3096,24,0
2015-05-06,7,3100,24,0
2015-05-07,3,3091,24,0
2015-05-07,7,3103,24,0
2015-05-08,3,3450,24,0
2015-05-08,7,3463,24,0
2015-05-09,3,2653,24,0
2015-05-09,7,2664,24,0
2015-05-10,3,2298,24,0
2015-05-10,7,2271,24,0
2015-05-11,3,3390,24,0
2015-05-11,7,3406,24,0
2015-05-12,3,3469,24,0
2015-05-12,7,3412,24,0
2015-05-13,3,3224,24,0
2015-05-13,7,3239,24,0
2015-05-14,3,3250,24,0
2015-05-14,7,3238,24,0
2015-05-15,3,3655,24,0
2015-05-15,7,3602,24,0
2015-05-16,3,2912,24,0
2015-05-16,7,2864,24,0
2015-05-17,3,2255,24,0
2015-05-17,7,2272,24,0
2015-05-18,3,3375,24,0
2015-05-18,7,3326,24,0
2015-05-19,3,3122,24,0
2015-05-19,7,3156,24,0
2015-05-20,3,3207,24,0
2015-05-20,7,3187,24,0
2015-05-21,3,3370,24,0
2015-05-21,7,3397,24,0
2015-05-22,3,3370,24,0
2015-05-22,7,3279,24,0
2015-05-23,3,2373,24,0
2015-05-23,7,2463,24,0
2015-05-24,3,1826,24,0
2015-05-24,7,1906,24,0
2015-05-25,3,2099,24,0
2015-05-25,7,2090,24,0
2015-05-26,3,3207,24,0
2015-05-26,7,3223,24,0
2015-05-27,3,3161,24,0
2015-05-27,7,3180,24,0
2015-05-28,3,3100,24,0
2015-05-28,7,3110,24,0
2015-05-29,3,3286,24,0
2015-05-29,7,3307,24,0
2015-05-30,3,2604,24,0
2015-05-30,7,2628,24,0
2015-05-31,3,2188,24,0
2015-05-31,7,2126,24,0
2015-06-01,3,3331,24,0
2015-06-01,7,3436,24,0
2015-06-02,3,3327,24,0
2015-06-02,7,3421,24,0
2015-06-03,3,3441,24,0
2015-06-03,7,3526,24,0
2015-06-04,3,3517,24,0
